"Constituency name, electorate, 2001 result",Turnout,Candidate (* = incumbent MP),Party,Votes,Percent share,* = lost deposit,Change 2001-05,
, , , ,-----,---,, , 
, , , ,6'348,19.3,, , 
2001: Lab,, , , , , , , 
Clwyd West [151],64,"Jones, D.I.",Con,12'909,36.2,,+,0.7
55'642, ,"Thomas, G.*",Lab,12'776,35.9,,-,2.9
, ,"Taylor, F.L.",LD,4'723,13.3,,+,1.9
, ,"Williams, E.S.",PC,3'874,10.9,,-,2
, ,"Nicholson, W.J.",UKIP,512,1.4,*,+,0.1
, ,"James, T.D.R.",Ind,507,1.4,*,, 
, ,"Keenan, P.J.D.",SL,313,0.9,*,,
, , , ,-----,---,, , 
,, , ,133,0.4,, , 
2001: Lab,, , , , , , , 
"Coatbridge Chryston and Bellshill    [152]",57.4,"Clarke, T.*",Lab,24'725,64.5,,-,4.8
66'753, ,"Ross, D.M.",SNP,5'206,13.6,,-,1.2
, ,"Ackland, R.",LD,4'605,12,,+,6.4
, ,"Paterson, L.S. Ms.",Con,2'775,7.2,,+,2.3
, ,"Kinloch, J. Ms.",SSP,1'033,2.7,*,-,2.4
, , , ,-----,---,, , 
,, , ,19'519,50.9,, , 
2001: Lab,, , , , , , , 
Colchester [153],58,"Russell, R.E.*",LD,21'145,47.1,,+,4.5
77'365, ,"Bentley, K.P.",Con,14'868,33.1,,+,3.2
, ,"Bruni, L.J.F. Ms.",Lab,8'886,19.8,,-,5.2
, , , ,-----,---,, , 
,, , ,6'277,14,, , 
2001: LD,, , , , , , , 
Colne Valley [154],66,"Mountford, K.C.J. Ms.*",Lab,17'536,35.8,,-,4.5
74'122, ,"Throup, M.A. Ms.",Con,16'035,32.8,,+,2.3
, ,"Wilson, E.M. Ms.",LD,11'822,24.2,,-,0.7
, ,"Fowler, B.R.",BNP,1'430,2.9,*,,
, ,"Hedges, L.A. Ms.",Grn,1'295,2.6,*,+,0.3
, ,"Martinek, H.E. Ms.",Ver,543,1.1,*,, 
, ,"Mumford, I.",MRLP,259,0.5,*,, 
, , , ,-----,---,, , 
,, , ,1'501,3.1,, , 
2001: Lab,, , , , , , , 
Congleton [155],64.1,"Winterton, J.A. Ms.*",Con,21'189,45.4,,-,0.9
72'771, ,"Milton, N.",Lab,12'943,27.7,,-,2.7
, ,"Key, E.C.A. Ms.",LD,12'550,26.9,,+,5.3
, , , ,-----,---,, , 
,, , ,8'246,17.7,, , 
2001: Con,, , , , , , , 
Conwy [156],62.3,"Williams, B.H. Ms.*",Lab,12'479,37.1,,-,4.7
53'987, ,"Bebb, G.A.O.",Con,9'398,27.9,,+,4.2
, ,"Roberts, G.R.",LD,6'723,20,,+,3.1
, ,"Rowlinson, P.J.",PC,3'730,11.1,,-,5.4
, ,"Killock, J.E.",Grn,512,1.5,*,,
, ,"Jones, D.L.",SL,324,1,*,,
, ,"Khambatta, K.",UKIP,298,0.9,*,-,0.2
, ,"Evans, T.N.",LCA,193,0.6,*,, 
, , , ,-----,---,, , 
,, , ,3'081,9.2,, , 
2001: Lab,, , , , , , , 
Copeland [157],62.3,"Reed, J.R.",Lab,17'033,50.5,,-,1.3
54'189, ,"Whiteside, C.J.",Con,10'713,31.7,,-,5.8
, ,"Hollowell, F.G.",LD,3'880,11.5,,+,0.8
, ,"Caley-Knowles, E.",UKIP,735,2.2,*,,
, ,"Earley, B.",Ind,734,2.2,*,, 
, ,"Mossop, A.",ED,662,2,*,, 
, , , ,-----,---,, , 
,, , ,6'320,18.7,, , 
2001: Lab,, , , , , , , 
Corby [158],65.6,"Hope, P.I.*",Lab,20'913,43.1,,-,6.2
74'014, ,"Griffith, A.J.",Con,19'396,40,,+,2.7
, ,"Radcliffe, D.S.",LD,6'184,12.7,,+,2.7
, ,"Gillman, I.F.",UKIP,1'278,2.6,*,+,0.8
, ,"Carey, S.R.",SL,499,1,*,,
, ,"Morris, J.E.",Ind,257,0.5,*,, 
, , , ,-----,---,, , 
,, , ,1'517,3.1,, , 
2001: Lab,, , , , , , , 
Cornwall North [159],64.5,"Rogerson, D.J.",LD,23'842,42.6,,-,9.4
86'841, ,"Formosa, M.A.",Con,20'766,37.1,,+,3.3
, ,"Acton, D.N.",Lab,6'636,11.9,,+,2.1
, ,"Bannerman, D.C.",UKIP,3'063,5.5,,+,1
, ,"Cole, R.M.",MK,1'351,2.4,*,, 
, ,"Eastwood, A.",Ver,324,0.6,*,, 
, , , ,-----,---,, , 
,, , ,3'076,5.5,, , 
2001: LD,, , , , , , , 
Cornwall South East [160],66.2,"Breed, C.E.*",LD,24'986,46.7,,+,0.8
80'704, ,"Gray, A.J.R.",Con,18'479,34.6,,-,0.9
, ,"Binley, C.R.",Lab,6'069,11.4,,-,1.1
, ,"Lucas, D.G.",UKIP,2'693,5,,+,1.2
, ,"Sandercock, G.M.",MK,769,1.4,*,, 
, ,"Assheton-Salton, A.C. Ms.",Ver,459,0.9,*,, 
, , , ,-----,---,, , 
,, , ,6'507,12.2,, , 
2001: LD,, , , , , , , 
Cotswold [161],67.4,"Clifton-Brown, G.*",Con,23'326,49.3,,-,1
70'210, ,"Beckerlegge, P.T.",LD,13'638,28.8,,+,4.6
, ,"Dempsey, M.E.",Lab,8'457,17.9,,-,4.7
, ,"Buckley, R.W.",UKIP,1'538,3.2,*,+,0.4
, ,"Derieg, J.N.",Ind,392,0.8,*,, 
, , , ,-----,---,, , 
,, , ,9'688,20.5,, , 
2001: Con,,,,,,,,
Coventry North East [162],53.7,"Ainsworth, R.W.*",Lab,21'178,56.9,,-,4.1
69'221, ,"Birdi, J.S.",Con,6'956,18.7,,-,0.1
, ,"Field, R.D.",LD,6'123,16.5,,+,5.3
, ,"Nellist, D.J.",S Alt,1'874,5,, , 
, ,"Sootheran, P.B.",UKIP,1'064,2.9,*,,
, , , ,-----,---,, , 
,, , ,14'222,38.2,, , 
2001: Lab,, , , , , , , 
Coventry North West [163],60.2,"Robinson, G.*",Lab,20'942,48.2,,-,3.2
72'177, ,"Connell, B.A.",Con,11'627,26.8,,+,0.9
, ,"Anderson, I.M. Ms.",LD,7'932,18.3,,+,4.6
, ,"Clarke, D.E.",BNP,1'556,3.6,*,,
, ,"List, S.A. Ms.",UKIP,766,1.8,*,+,0.2
, ,"Downes, N.J. Ms.",S Alt,615,1.4,*,, 
, , , ,-----,---,, , 
,, , ,9'315,21.4,, , 
2001: Lab,, , , , , , , 
Coventry South [164],60.3,"Cunningham, J.D.*",Lab,18'649,45.8,,-,4.4
67'433, ,"Wheeler, H.K. Ms.",Con,12'394,30.5,,+,0.9
, ,"McKee, V.J.",LD,7'228,17.8,,+,3.6
, ,"Windsor, R.P.",S Alt,1'097,2.7,*,, 
, ,"Brown, W.D.",UKIP,829,2,*,,
, ,"Rogers, I.E. Ms.",Ind,344,0.8,*,, 
, ,"Rooney, J.C.",FF,144,0.4,*,, 
, , , ,-----,---,, , 
,, , ,6'255,15.4,, , 
2001: Lab,, , , , , , , 
Crawley [165],58.4,"Moffatt, L.J. Ms.*",Lab,16'411,39.1,,-,10.2
71'912, ,"Smith, H.E.M.",Con,16'374,39,,+,6.8
, ,"Sheard, R.J.K.",LD,6'503,15.5,,+,2.8
, ,"Trower, R.J.",BNP,1'277,3,*,,
, ,"Walters, R.G.",UKIP,935,2.2,*,-,0.6
, ,"Burnham, R.C.",DSA,263,0.6,*,, 
, ,"Khan, A.",JP,210,0.5,*,, 
, , , ,-----,---,, , 
,, , ,37,0.1,, , 
2001: Lab,, , , , , , , 
Crewe and Nantwich [166],60.7,"Dunwoody, G.P. Ms.*",Lab,21'240,48.8,,-,5.4
71'628, ,"Moore-Dutton, E.H. Ms.",Con,14'162,32.6,,+,2.1
, ,"Roberts, P.D.",LD,8'083,18.6,,+,5.1
, , , ,-----,---,, , 
,, , ,7'078,16.3,, , 
2001: Lab,, , , , , , , 
Crosby [167],67.3,"Curtis-Thomas, C. Ms.*",Lab,17'463,48.2,,-,6.9
53'793, ,"Jones, D. Ms.",Con,11'623,32.1,,-,0.4
, ,"Murray, J.P.",LD,6'298,17.4,,+,6.3
, ,"Whittaker, J.",UKIP,454,1.3,*,,
, ,"Bottoms, G.D.",Comm,199,0.5,*,, 
, ,"Braid, D.O.",C28,157,0.4,*,, 
, , , ,-----,---,, , 
,, , ,5'840,16.1,, , 
2001: Lab,, , , , , , , 
Croydon Central [168],60.3,"Pelling, A.J.",Con,19'974,40.8,,+,2.3
81'149, ,"Davies, G.R.*",Lab,19'899,40.6,,-,6.5
, ,"Hargreaves, J.A.",LD,6'384,13,,+,1.8
, ,"Edwards, I.D.",UKIP,1'066,2.2,*,+,1
, ,"Golberg, B.C. Ms.",Grn,1'036,2.1,*,,
, ,"Bowness, M. Ms.",Ver,304,0.6,*,, 
, ,"Cartwright, J.S.",MRLP,193,0.4,*,, 
, ,"Stears, J.A. Ms.",TPC,101,0.2,*,, 
, , , ,-----,---,, , 
,, , ,75,0.2,, , 
2001: Lab,, , , , , , , 
Croydon North [169],52.5,"Wicks, M.H.*",Lab,23'555,53.7,,-,9.9
83'629, ,"Ahmad, T.M.",Con,9'667,22,,-,1.3
, ,"Gee-Turner, A.J.",LD,7'590,17.3,,+,6.9
, ,"Khan, S.",Grn,1'248,2.8,*,,
, ,"Pearce, C.H.",UKIP,770,1.8,*,+,0.3
, ,"Gibson, P.C.",Croy,394,0.9,*,, 
, ,"McKenzie, W.T.",Ver,324,0.7,*,, 
, ,"Rasheed, F.",Ind,197,0.4,*,, 
, ,"Chambers, M.T. Ms.",TPC,132,0.3,*,, 
, , , ,-----,---,, , 
,, , ,13'888,31.7,, , 
2001: Lab,, , , , , , , 
Croydon South [170],64.5,"Ottaway, R.G.J.*",Con,25'320,51.8,,+,2.6
75'812, ,"Smith, P.J.",Lab,11'792,24.1,,-,5.8
, ,"Lawman, S.J. Ms.",LD,10'049,20.6,,+,2.3
, ,"Feisenberger, J.R.",UKIP,1'054,2.2,*,-,0.1
, ,"Dare, G.T.",Ver,497,1,*,, 
, ,"Samuel, M.R.L.",TPC,185,0.4,*,, 
, , , ,-----,---,, , 
,, , ,13'528,27.7,, , 
2001: Con,, , , , , , , 
"Cumbernauld Kilsyth and Kirkintilloch East    [171]",60.8,"McKenna, R. Ms.*",Lab,20'251,51.8,,-,6
64'254, ,"Hepburn, J.D.",SNP,8'689,22.2,,-,3.8
, ,"O'Donnell, H.B.B.",LD,5'817,14.9,,+,8.8
, ,"Boswell, J.A.D.",Con,2'718,7,,+,1.9
, ,"O'Neill, W.P.",SSP,1'141,2.9,*,-,1.5
, ,"Elliott, P.",OCV,472,1.2,*,, 
, , , ,-----,---,, , 
,, , ,11'562,29.6,, , 
2001: Lab,, , , , , , , 
Cynon Valley [172],59.5,"Clwyd, A. Ms.*",Lab,17'074,64.1,,-,1.5
44'803, ,"Benney, G.",PC,3'815,14.3,,-,3.1
, ,"Phelps, M. Ms.",LD,2'991,11.2,,+,1.8
, ,"Dunn, A.F.P. Ms.",Con,2'062,7.7,,+,0.2
, ,"Davies, S.M. Ms.",UKIP,705,2.6,*,,
, , , ,-----,---,, , 
,, , ,13'259,49.8,, , 
2001: Lab,,,,,,,,
Dagenham [173],51.3,"Cruddas, J.*",Lab,15'446,50.1,,-,7.1
60'141, ,"White, M.J.",Con,7'841,25.4,,-,0.3
, ,"Kempton, J.",LD,3'106,10.1,,-,0.2
, ,"Rustem, L.",BNP,2'870,9.3,,+,4.3
, ,"Batten, G.J.",UKIP,1'578,5.1,, ,
, , , ,-----,---,, , 
,, , ,7'605,24.7,, , 
2001: Lab,, , , , , , , 
Darlington [174],60.8,"Milburn, A.*",Lab,20'643,52.4,,-,3.9
64'797, ,"Frieze, A.P.",Con,10'239,26,,-,4.3
, ,"Adamson, R.M.",LD,7'269,18.5,,+,7.5
, ,"Hoodless, J.J.",UKIP,730,1.9,*,,
, ,"Davies, D.E.",Ver,507,1.3,*,, 
, , , ,-----,---,, , 
,, , ,10'404,26.4,, , 
2001: Lab,, , , , , , , 
Dartford [175],64,"Stoate, H.G.A.*",Lab,19'909,42.6,,-,5.4
73'085, ,"Johnson, G.A.",Con,19'203,41.1,,+,0.5
, ,"Bucklitsch, P.J.",LD,5'036,10.8,,+,2.3
, ,"Croucher, M.C.",UKIP,1'407,3,*,+,0.8
, ,"Tibby, M.T.",NEP,1'224,2.6,*,, 
, , , ,-----,---,, , 
,, , ,706,1.5,, , 
2001: Lab,, , , , , , , 
Daventry [176],68.6,"Boswell, T.E.*",Con,31'206,51.6,,+,2.4
88'058, ,"Hammond, A.J.",Lab,16'520,27.3,,-,4.9
, ,"Saul, H.M. Ms.",LD,9'964,16.5,,+,0.4
, ,"Mahoney, B.J.",UKIP,1'927,3.2,*,+,0.8
, ,"Wilkins, B.",Ver,822,1.4,*,, 
, , , ,-----,---,, , 
,, , ,14'686,24.3,, , 
2001: Con,, , , , , , , 
Delyn [177],63.7,"Hanson, D.G.*",Lab,15'540,45.7,,-,5.8
53'383, ,"Bell, J.",Con,8'896,26.2,,-,0.5
, ,"Jones, J.T.",LD,6'089,17.9,,+,2.5
, ,"Thomas, P.W.",PC,2'524,7.4,,+,0.9
, ,"Crawford, M.E. Ms.",UKIP,533,1.6,*,,
, ,"Williams, N.",Ind,422,1.2,*,, 
, , , ,-----,---,, , 
,, , ,6'644,19.5,, , 
2001: Lab,, , , , , , , 
Denton and Reddish [178],52.5,"Gwynne, A.J.",Lab,20'340,57.4,,-,7.8
67'509, ,"Story, A.P.",Con,6'842,19.3,,-,0.3
, ,"Seabourne, A.K. Ms.",LD,5'814,16.4,,+,4
, ,"Edgar, J.",BNP,1'326,3.7,*,,
, ,"Price, G.",UKIP,1'120,3.2,*,+,0.3
, , , ,-----,---,, , 
,, , ,13'498,38.1,, , 
2001: Lab,, , , , , , , 
Derby North [179],64.3,"Laxton, R.*",Lab,19'272,44,,-,6.9
68'173,,"Aitken-Davies, R.",Con,15'515,35.4,,+,0.4
, ,"Beckett, J.W.R.",LD,7'209,16.5,,+,2.4
, ,"Bardoe, M.A.",Ver,958,2.2,*,, 
, ,"Medgyesy, M.E. Ms.",UKIP,864,2,*,,
, , , ,-----,---,, , 
, , , ,3'757,8.6,, , 
2001: Lab,, , , , , , , 
Derby South [180],61.6,"Beckett, M.M. Ms.*",Lab,19'683,45.4,,-,11.1
70'397, ,"Care, L.H. Ms.",LD,14'026,32.3,,+,13
, ,"Brackenbury, D.H.G.",Con,8'211,18.9,,-,5.3
, ,"Black, D.W.",UKIP,845,1.9,*,,
, ,"Leeming, G.F.",Ver,608,1.4,*,, 
, , , ,-----,---,, , 
,, , ,5'657,13,, , 
2001: Lab,, , , , , , , 
Derbyshire North East [181],61.7,"Engel, N. Ms.",Lab,21'416,49.3,,-,6.3
70'450, ,"Johnson, D.R.A.",Con,11'351,26.1,,-,0.4
, ,"Snowdon, T.C.",LD,8'812,20.3,,+,2.5
, ,"Perkins, K.",UKIP,1'855,4.3,*,,
, , , ,-----,---,, , 
,, , ,10'065,23.2,, , 
2001: Lab,, , , , , , , 
Derbyshire South [182],66.2,"Todd, M.W.*",Lab,24'823,44.5,,-,6.2
84'261, ,"Spencer, S.A.",Con,20'328,36.4,,+,0.8
, ,"Newton-Cook, D.V. Ms.",LD,7'600,13.6,,+,3.5
, ,"Joines, D.P.",BNP,1'797,3.2,*,,
, ,"Spalton, R.E.",Ver,1'272,2.3,*,, 
, , , ,-----,---,, , 
,, , ,4'495,8.1,, , 
2001: Lab,, , , , , , , 
Derbyshire West [183],68.9,"McLoughlin, P.A.*",Con,24'378,47.7,,-,0.3
74'255, ,"Menon, D.",Lab,13'625,26.6,,-,6.8
, ,"Dring, R.",LD,11'408,22.3,,+,6.6
, ,"Cruddas, M.C.",UKIP,1'322,2.6,*,+,1.3
, ,"Delves, N.C.E.",MRLP,405,0.8,*,, 
, ,"Kyslun, M.",,5,0,*, ,
, , , ,-----,---,, , 
,, , ,10'753,21,, , 
2001: Con,, , , , , , , 
Devizes [184],65,"Ancram, M.A.*",Con,27'253,48.5,,+,1.3
86'324, ,"Hornby, F.C. Ms.",LD,14'059,25,,+,3
, ,"Charity, S.G.J. Ms.",Lab,12'519,22.3,,-,2.6
, ,"Wood, A.S.",UKIP,2'315,4.1,*,+,1.3
, , , ,-----,---,, , 
,, , ,13'194,23.5,, , 
2001: Con,, , , , , , , 
Devon East [185],70,"Swire, H.*",Con,23'075,46.9,,-,0.6
70'344, ,"Dumper, T.R.",LD,15'139,30.7,,+,0.5
, ,"Court, J.R.",Lab,7'598,15.4,,-,1.2
, ,"McNamee, C.J.",UKIP,3'035,6.2,,+,0.5
, ,"Way, C.R.",Ind,400,0.8,*,, 
,,,,,,,,
, , , ,-----,---,, , 
,, , ,7'936,16.1,, , 
2001: Con,, , , , , , , 
Devon North [186],68.2,"Harvey, N.B.*",LD,23'840,45.9,,+,1.7
76'160, ,"Fraser, O.G.",Con,18'868,36.3,,-,1.8
, ,"Cann, M.M.R.",Lab,4'656,9,,-,1.2
, ,"Browne, J.D.",UKIP,2'740,5.3,,+,0.2
, ,"Knight, R.A.",Grn,1'826,3.5,*,+,1.1
, , , ,-----,---,, , 
,, , ,4'972,9.6,, , 
2001: LD,, , , , , , , 
Devon South West [187],68.5,"Streeter, G.N.*",Con,21'906,44.8,,-,2
71'373, ,"Evans, J. Ms.",LD,11'765,24.1,,+,5.7
, ,"Mavin, C.J.",Lab,11'545,23.6,,-,8
, ,"Williams, H.M.",UKIP,3'669,7.5,,+,4.3
, , , ,-----,---,, , 
,, , ,10'141,20.7,, , 
2001: Con,, , , , , , , 
Devon West and Torridge [188],70.5,"Cox, C.G.",Con,25'013,42.7,,+,2.7
83'131, ,"Walter, D.C.",LD,21'777,37.2,,-,5
, ,"Richards, R.L. Ms.",Lab,6'001,10.2,,-,0.5
, ,"Jackson, M.J.",UKIP,3'790,6.5,,+,1.7
, ,"Christie, P.S.",Grn,2'003,3.4,*,+,1.1
, , , ,-----,---,, , 
,, , ,3'236,5.5,, , 
2001: LD,, , , , , , , 
Dewsbury [189],62,"Malik, S.",Lab,15'807,41,,-,9.6
62'245, ,"Warsi, S.H. Ms.",Con,11'192,29,,-,1.2
, ,"Hill, K.",LD,5'624,14.6,,+,2.6
, ,"Exley, D.A.",BNP,5'066,13.1,,+,8.7
, ,"Smithson, J.B. Ms.",Grn,593,1.5,*,+,0
, ,"Girvan, A.",Ind,313,0.8,*,, 
, , , ,-----,---,, , 
,, , ,4'615,12,, , 
2001: Lab,, , , , , , , 
Don Valley [190],55,"Flint, C.L. Ms.*",Lab,19'418,52.7,,-,1.9
66'993, ,"Duguid, A.M.",Con,10'820,29.4,,+,0.7
, ,"Arnold, S.D.",LD,6'626,18,,+,6.8
, , , ,-----,---,, , 
,, , ,8'598,23.3,, , 
2001: Lab,, , , , , , , 
Doncaster Central [191],52.3,"Winterton, R. Ms.*",Lab,17'617,51.3,,-,7.8
65'731, ,"Wilson, P.J.",LD,7'815,22.8,,+,9.8
, ,"Kerner, S.N.",Con,6'489,18.9,,-,4.8
, ,"Wilkinson, J.C.",BNP,1'239,3.6,*,,
, ,"Simmons, A.J.",UKIP,1'191,3.5,*,+,0.7
, , , ,-----,---,, , 
,, , ,9'802,28.5,, , 
2001: Lab,, , , , , , , 
Doncaster North [192],51.1,"Miliband, E.S.",Lab,17'531,55.5,,-,7.6
61'741,,"Drake, M.E.",Con,4'875,15.4,,+,0.8
, ,"Pickett, D.",LD,3'800,12,,+,1.4
, ,"Williams, M.",C Grp,2'365,7.5,, , 
, ,"Haggan, L.M.",BNP,1'506,4.8,*,,
, ,"Nixon, R.",UKIP,940,3,*,+,0.7
, ,"Cassidy, M.W.",ED,561,1.8,*,, 
, , , ,-----,---,, , 
, , , ,12'656,40.1,, , 
2001: Lab,, , , , , , , 
Dorset Mid and Poole North [193],68.5,"Brooke, A.L. Ms.*",LD,22'000,48.7,,+,6.7
65'883, ,"Hayes, S.A.",Con,16'518,36.6,,-,4.5
, ,"Murray, P.",Lab,5'221,11.6,,-,3.9
, ,"King, A.K. Ms.",UKIP,1'420,3.1,*,+,1.7
, , , ,-----,---,, , 
,, , ,5'482,12.1,, , 
2001: LD,, , , , , , , 
Dorset North [194],71.4,"Walter, R.J.*",Con,23'714,44.9,,-,1.8
73'920, ,"Gasson, E.J. Ms.",LD,21'470,40.7,,+,1.9
, ,"Yarwood, J.K.",Lab,4'596,8.7,,-,2.5
, ,"Frampton Hobbs, R.J.D.",UKIP,1'918,3.6,*,+,1.5
, ,"Arliss, R.",Grn,1'117,2.1,*,,
, , , ,-----,---,, , 
,, , ,2'244,4.2,, , 
2001: Con,, , , , , , , 
Dorset South [195],69.4,"Knight, J.*",Lab,20'231,41.6,,-,0.3
70'002, ,"Matts, E.St.J.",Con,18'419,37.9,,-,3.7
, ,"Oakes, G.J.",LD,7'647,15.7,,+,1.3
, ,"Chalker, H.C.G.",UKIP,1'571,3.2,*,+,1.2
, ,"Hamilton, V.",LCA,282,0.6,*,, 
, ,"Parkes, B.E.",Resp,219,0.5,*,,
, ,"Kirkwood, A.",PART,107,0.2,*,, 
, ,"Bex, C.R.",WR,83,0.2,*,, 
, ,"Marchesi, D.T.",,25,0.1,*,,
, , , ,-----,---,, , 
,, , ,1'812,3.7,, , 
2001: Lab,, , , , , , , 
Dorset West [196],76.4,"Letwin, O.*",Con,24'763,46.5,,+,1.9
69'643, ,"McGuinness, J. Ms.",LD,22'302,41.9,,+,0.1
, ,"Roberts, D.K.R.",Lab,4'124,7.7,,-,5.8
, ,"Guest, L.R. Ms.",UKIP,1'084,2,*,,
, ,"Greene, J.S. Ms.",Grn,952,1.8,*,,
, , , ,-----,---,, , 
,, , ,2'461,4.6,, , 
2001: Con,, , , , , , , 
Dover [197],68.1,"Prosser, G.M.*",Lab,21'680,45.3,,-,3.5
70'286, ,"Watkins, P.A.",Con,16'739,35,,-,2.3
, ,"Hook, A.J.",LD,7'607,15.9,,+,4.5
, ,"Wiltshire, M.R.",UKIP,1'252,2.6,*,+,0.1
, ,"Matcham, V.P.",Ind,606,1.3,*,, 
, , , ,-----,---,, , 
,, , ,4'941,10.3,, , 
2001: Lab,,,,,,,,
Down North [198],54.4,"Hermon, S.E. Ms.*",UU,16'268,50.4,,-,5.6
59'358, ,"Weir, P.J.",DUP,11'324,35.1,, ,
, ,"Alderdice, D.K.",APNI,2'451,7.6,, ,
, ,"Logan, W.P.",SDLP,1'009,3.1,*,-,0.3
, ,"Robertson, J.",Con,822,2.5,*,+,0.4
, ,"Carter, C.C.",Ind,211,0.7,*,, 
, ,"McCrory, J. Ms.",SF,205,0.6,*,-,0.2
, , , ,-----,---,, , 
,, , ,4'944,15.3,, , 
2001: UU,, , , , , , , 
Down South [199],65.8,"McGrady, E.*",SDLP,21'557,44.7,,-,1.6
73'175, ,"Ruane, C.M. Ms.",SF,12'417,25.8,,+,6
, ,"Wells, J.H.",DUP,8'815,18.3,,+,3.3
, ,"Nesbitt, D.",UU,4'775,9.9,,-,7.7
, ,"Crozier, J.",APNI,613,1.3,*,-,0
, , , ,-----,---,, , 
,, , ,9'140,19,, , 
2001: SDLP,, , , , , , , 
Dudley North [200],60.6,"Austin, I.C.",Lab,18'306,44.2,,-,7.9
68'314, ,"Hillas, I.M.",Con,12'874,31.1,,-,3.4
, ,"Lewis, G.P.T.",LD,4'257,10.3,,+,1.6
, ,"Darby, S.",BNP,4'022,9.7,,+,5
, ,"Davis, P.M.",UKIP,1'949,4.7,*,,
, , , ,-----,---,, , 
,, , ,5'432,13.1,, , 
2001: Lab,, , , , , , , 
Dudley South [201],60.6,"Pearson, I.P.*",Lab,17'800,45.3,,-,4.5
64'829, ,"Longhi, M.",Con,13'556,34.5,,+,3.4
, ,"Bramall, J.M.",LD,4'808,12.2,,-,2.7
, ,"Salvage, J.S.",BNP,1'841,4.7,*,,
, ,"Benion, A.",UKIP,1'271,3.2,*,+,0.9
, , , ,-----,---,, , 
,, , ,4'244,10.8,, , 
2001: Lab,, , , , , , , 
Dulwich and West Norwood [202],57,"Jowell, T.J. Ms.*",Lab,19'059,45.4,,-,9.5
73'710, ,"Mitchell, J.S.",LD,10'252,24.4,,+,9.2
, ,"Humphreys, M.E.K.",Con,9'200,21.9,,-,0.8
, ,"Jones, J. Ms.",Grn,2'741,6.5,,+,1.5
, ,"Atkinson, R.S.",UKIP,290,0.7,*,,
, ,"Heather, D.C.N.",Ver,241,0.6,*,, 
, ,"Rose, A.M. Ms.",SL,149,0.4,*,,
, ,"Weleminsky, J. Ms.",FIT,57,0.1,*,, 
, , , ,-----,---,, , 
,, , ,8'807,21,, , 
2001: Lab,, , , , , , , 
Dumfries and Galloway [203],69.6,"Brown, R.*",Lab,20'924,41.1,,+,8.8
73'143, ,"Duncan, P.J.*",Con,18'002,35.4,,+,3.3
, ,"Henderson, D.",SNP,6'182,12.1,,-,12.9
, ,"Legg, K.M.",LD,4'259,8.4,,-,0.5
, ,"Schofield, J.L.",Grn,745,1.5,*,,
, ,"Dennis, J.",SSP,497,1,*,-,0.6
, ,"Smith, M.A.",OCV,282,0.6,*,, 
, , , ,-----,---,, , 
,, , ,2'922,5.7,, , 
2001: Lab,, , , , , , , 
"Dumfriesshire Clydesdale and Tweeddale   [204]",68.6,"Mundell, D.G.",Con,16'141,36.2,,+,11.4
65'083, ,"Marshall, S.",Lab,14'403,32.3,,-,4.6
, ,"Kenton, M.P. Ms.",LD,9'046,20.3,,-,1.5
, ,"Wood, A.S.",SNP,4'075,9.1,,-,5.2
, ,"MacTavish, S. Ms.",SSP,521,1.2,*,-,0.6
, ,"Lee, A.",UKIP,430,1,*,,
, , , ,-----,---,, , 
,, , ,1'738,3.9,, , 
2001: Lab,, , , , , , , 
Dunbartonshire East [205],73.1,"Swinson, J. Ms.",LD,19'533,41.8,,+,14.8
63'918, ,"Lyons, J.*",Lab,15'472,33.1,,-,0.2
, ,"Jack, D.R.",Con,7'708,16.5,,-,6
, ,"Sagan, C.Z.",SNP,2'716,5.8,,-,8.9
, ,"Callison, J.S.",Grn,876,1.9,*,,
, ,"Page, P. Ms.",SSP,419,0.9,*,-,1.5
, , , ,-----,---,, , 
,, , ,4'061,8.7,, , 
2001: Lab,, , , , , , , 
Dunbartonshire West [206],61.3,"McFall, J.*",Lab,21'600,51.9,,-,11.5
67'853, ,"Chalmers, T.J.",SNP,9'047,21.8,,-,2.2
, ,"Walker, N.R.",LD,5'999,14.4,,+,12
, ,"Murdoch, J.C.",Con,2'679,6.4,,+,1.4
, ,"Robertson, L.",SSP,1'708,4.1,*,-,0.9
, ,"Maher, B.F.",UKIP,354,0.9,*,,
, ,"Dawson, M.D.",OCV,202,0.5,*,, 
, , , ,-----,---,, , 
,, , ,12'553,30.2,, , 
2001: Lab,, , , , , , , 
Dundee East [207],62.4,"Hosie, S.",SNP,14'708,37.2,,+,1.1
63'335, ,"Luke, I.M.*",Lab,14'325,36.2,,-,1.1
, ,"Bustin, C.M.",Con,5'061,12.8,,-,2.5
, ,"Sneddon, C.R.",LD,4'498,11.4,,+,2.7
, ,"Duke, H.",SSP,537,1.4,*,-,1.2
, ,"Low, R.D.M.",UKIP,292,0.7,*,,
, ,"Allison, D.A.",Ind,119,0.3,*,, 
, , , ,-----,---,, , 
,, , ,383,1,, , 
2001: Lab,, , , , , , , 
Dundee West [208],56.1,"McGovern, J.",Lab,16'468,44.6,,-,5.7
65'857, ,"Fitzpatrick, J.M.",SNP,11'089,30,,+,2.3
, ,"Garry, N. Ms.",LD,5'323,14.4,,+,5.2
, ,"McKinlay, C.J.",Con,3'062,8.3,,-,0.6
, ,"McFarlane, J.",SSP,994,2.7,*,-,1.2
, , , ,-----,---,, , 
,, , ,5'379,14.6,, , 
2001: Lab,, , , , , , , 
