"Constituency name, electorate, 2001 result",Turnout,Candidate (* = incumbent MP),Party,Votes,Percent share,* = lost deposit,Change 2001-05,
2001: DUP,, , , , , , , 
Antrim South [14],57,"McCrea, R.T.W.",DUP,14'507,38.2,,+,3.4
66'580, ,"Burnside, D.W.B.*",UU,11'059,29.1,,-,7.9
, ,"McClelland, N.P. Ms.",SDLP,4'706,12.4,,+,0.3
, ,"Cushinan, H.J.",SF,4'407,11.6,,+,2.2
, ,"Ford, D.R.J.",APNI,3'278,8.6,,+,4.2
, , , ,-----,---,, , 
,, , ,3'448,9.1,, , 
2001: UU,, , , , , , , 
Argyll and Bute [15],64.3,"Reid, A.*",LD,15'786,36.5,,+,3.7
67'271, ,"McGrigor, J.A.R.N.",Con,10'150,23.5,,-,0.2
, ,"Manson, C. Ms.",Lab,9'696,22.4,,-,0.3
, ,"Strong, I.C. Ms.",SNP,6'716,15.5,,-,1.9
, ,"Henderson, D. Ms.",SSP,881,2,*,-,1.3
, , , ,-----,---,, , 
,, , ,5'636,13,, , 
2001: LD,, , , , , , , 
Arundel and South Downs [16],68.5,"Herbert, N.Le Q.",Con,24'752,49.8,,-,2.4
72'535, ,"Deedman, D.R.",LD,13'443,27.1,,+,4.7
, ,"Whitlam, S.E. Ms.",Lab,8'482,17.1,,-,3.6
, ,"Moffat, A.J.",UKIP,2'700,5.4,,+,0.7
, ,"Stack, M.C.",PVP,313,0.6,*,, 
, , , ,-----,---,, , 
,, , ,11'309,22.8,, , 
2001: Con,, , , , , , , 
Ashfield [17],57.4,"Hoon, G.W.*",Lab,20'433,48.6,,-,9.5
73'321, ,"Inglis-Jones, G.V.",Con,10'220,24.3,,-,0.1
, ,"Johnson, W.E. Ms.",LD,5'829,13.9,,+,2.6
, ,"Adkins, R.",Ash,2'292,5.5,, , 
, ,"Allsop, K.R. Ms.",Ind,1'900,4.5,*,, 
, ,"Hemstock, S.L. Ms.",Ver,1'108,2.6,*,, 
, ,"Grenfell, W.E.",Ind,269,0.6,*,, 
, , , ,-----,---,, , 
,, , ,10'213,24.3,, , 
2001: Lab,, , , , , , , 
Ashford [18],65.6,"Green, D.H.*",Con,26'651,51.6,,+,4.1
78'816, ,"Whitaker, V.R. Ms.",Lab,13'353,25.8,,-,6.2
, ,"Took, C.J.",LD,8'308,16.1,,+,1
, ,"Boden, R.T.",Grn,1'753,3.4,*,+,0.6
, ,"Stroud, B.G.",UKIP,1'620,3.1,*,+,0.6
,,,,,,,,
, , , ,-----,---,, , 
,, , ,13'298,25.7,, , 
2001: Con,, , , , , , , 
Ashton-under-Lyne [19],51.9,"Heyes, D.A.*",Lab,21'211,57.4,,-,5.1
71'291, ,"Brown, G.H.",Con,7'259,19.6,,+,0.6
, ,"Jones, L.",LD,5'108,13.8,,+,2
, ,"Jones, A.D.",BNP,2'051,5.5,,+,1
, ,"Whittaker, J.",UKIP,768,2.1,*,,
, ,"Crossfield, J.A.",LCP,570,1.5,*,, 
, , , ,-----,---,, , 
,, , ,13'952,37.7,, , 
2001: Lab,, , , , , , , 
Aylesbury [20],63.3,"Lidington, D.R.*",Con,25'252,49.1,,+,1.7
81'320, ,"Jones, P.M.",LD,14'187,27.6,,+,0.6
, ,"Khaliel, M.",Lab,9'540,18.5,,-,4.7
, ,"Adams, C.M.",UKIP,2'479,4.8,*,+,2.3
, , , ,-----,---,, , 
,, , ,11'065,21.5,, , 
2001: Con,, , , , , , , 
"Ayr Carrick and Cumnock [21]",61.9,"Osborne, S. Ms.*",Lab,20'433,45.4,,-,6
72'786, ,"Jones, M.G.",Con,10'436,23.2,,-,1.6
, ,"Waugh, C.M.",LD,6'341,14.1,,+,6.9
, ,"Brodie, C.",SNP,5'932,13.2,,-,0.5
, ,"Sharp, D.",SSCP,592,1.3,*,, 
, ,"Steele, M.",SSP,554,1.2,*,-,1.1
, ,"McDaid, J.",SL,395,0.9,*,,
, ,"McCormack, B.",UKIP,365,0.8,*,,
, , , ,-----,---,, , 
,, , ,9'997,22.2,, , 
2001: Lab,, , , , , , , 
Ayrshire Central [22],63.2,"Donohoe, B.H.*",Lab,19'905,46.4,,-,2.8
67'838, ,"Clarke, G.J.",Con,9'482,22.1,,-,4.1
, ,"Kennedy, I.",LD,6'881,16.1,,+,9.7
, ,"Hanif, J.",SNP,4'969,11.6,,-,3
, ,"Morton, D. Ms.",SSP,820,1.9,*,-,1
, ,"Cochrane, R.",SL,468,1.1,*,,
, ,"Groves, J.",UKIP,346,0.8,*,,
, , , ,-----,---,, , 
,, , ,10'423,24.3,, , 
2001: Lab,, , , , , , , 
Ayrshire North and Arran [23],60.6,"Clark, K. Ms.",Lab,19'417,43.9,,-,4.4
72'986, ,"Connell, S.M.",Con,8'121,18.4,,+,0.9
, ,"Gurney, A.P.",SNP,7'938,18,,-,3.1
, ,"White, G.A.",LD,7'264,16.4,,+,7.7
, ,"Turbett, C.P.",SSP,780,1.8,*,-,1.4
, ,"Pursley, J.",UKIP,382,0.9,*,,
, ,"McDaid, L. Ms.",SL,303,0.7,*,,
, , , ,-----,---,, , 
,, , ,11'296,25.6,, , 
2001: Lab,, , , , , , , 
Banbury [24],63.9,"Baldry, A.B.*",Con,26'382,46.9,,+,1.8
88'006,,"Sibley, L.F.",Lab,15'585,27.7,,-,7.3
, ,"Patrick, Z.A. Ms.",LD,10'076,17.9,,+,2
, ,"Duckmanton, A.J. Ms.",Grn,1'590,2.8,*,+,0.3
, ,"Heimann, D. Ms.",UKIP,1'241,2.2,*,+,0.9
, ,"Starkey, J.W.",NF,918,1.6,*,, 
, ,"Rowe, C.M.",YrP,417,0.7,*,, 
, , , ,-----,---,, , 
, , , ,10'797,19.2,, , 
2001: Con,, , , , , , , 
