UK General Election Results 1997,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%Share,Electorate,Majority,Turnout,Status,Declaration
,,Stephan Shakespeare,Conservative,16305,31.35%,,,,,
,,Rod Green,Labour,15891,30.56%,,,,,
,,John Hazell,Referendum,1776,3.41%,,,,,
,,Loretta Basker,Natural Law,148,0.28%,,,,,
,,,,,,,,,,
Colne Valley,,Kali Mountford,Labour,23285,41.28%,73338,4840,76.92%,Labour Gain,02/05/97 02:30
,,Graham Riddick,Conservative,18445,32.70%,,,,,
,,Nigel Priestley,Liberal Democrat,12755,22.61%,,,,,
,,Alan Brooke,Socialist Labour,759,1.35%,,,,,
,,Andy Cooper,Green,493,0.87%,,,,,
,,JD Nunn,United Kingdom Independence,478,0.85%,,,,,
,,Melodie Staniforth,Monster Raving Loony,196,0.35%,,,,,
,,,,,,,,,,
Congleton,,Ann Winterton,Conservative,22012,41.21%,68873,6130,77.56%,Conservative Hold,02/05/97 03:24
,,Joan Walmsley,Liberal Democrat,15882,29.73%,,,,,
,,Helen Scholey,Labour,14713,27.54%,,,,,
,,JB Lockett,United Kingdom Independence,811,1.52%,,,,,
,,,,,,,,,,
Conwy,,Betty Williams,Labour,14561,35.04%,55092,1596,75.44%,Labour Gain,02/05/97 03:09
,,Roger Roberts,Liberal Democrat,12965,31.20%,,,,,
,,David Jones,Conservative,10085,24.27%,,,,,
,,Rhodri Davies,Plaid Cymru,2844,6.84%,,,,,
,,Alan Barham,Referendum,760,1.83%,,,,,
,,Richard Bradley,Independent,250,0.60%,,,,,
,,David Hughes,Natural Law,95,0.23%,,,,,
,,,,,,,,,,
Copeland,,Jack Cunningham,Labour,24077,58.16%,54263,11996,76.29%,Labour Hold,02/05/97 04:06
,,Andrew Cumpsty,Conservative,12081,29.18%,,,,,
,,Roger Putnam,Liberal Democrat,3814,9.21%,,,,,
,,Chris Johnston,Referendum,1036,2.50%,,,,,
,,Gerard Hanratty,People's Labour,389,0.94%,,,,,
,,,,,,,,,,
Corby,,Philip Hope,Labour Co-op,29888,55.39%,69252,11860,77.91%,Labour/Co-operative Gain,02/05/97 04:54
,,William Powell,Conservative,18028,33.41%,,,,,
,,Ian Hankinson,Liberal Democrat,4045,7.50%,,,,,
,,Sebastian Riley-Smith,Referendum,1356,2.51%,,,,,
,,Ian Gillman,United Kingdom Independence,507,0.94%,,,,,
,,Jane Bence,Natural Law,133,0.25%,,,,,
,,,,,,,,,,
Cornwall South East,,Colin Breed,Liberal Democrat,27044,47.09%,75825,6480,75.74%,Liberal Democrat Gain,02/05/97 04:51
,,Warwick Lightfoot,Conservative,20564,35.81%,,,,,
,,Dorothy Kirk,Labour,7358,12.81%,,,,,
,,JA Wonnacott,United Kingdom Independence,1428,2.49%,,,,,
,,Paul Dunbar,Mebyon Kernow,573,1.00%,,,,,
,,Bill Weights,Liberal,268,0.47%,,,,,
,,Margo Hartley,Natural Law,197,0.34%,,,,,
,,,,,,,,,,
Cotswold,,Geoffrey Clifton-Brown,Conservative,23698,46.36%,67333,11965,75.92%,Conservative Hold,02/05/97 04:26
,,David Gayler,Liberal Democrat,11733,22.95%,,,,,
,,David Elwell,Labour,11608,22.71%,,,,,
,,Rupert Lowe,Referendum,3393,6.64%,,,,,
,,Valerie Michael,Green,560,1.10%,,,,,
,,Henry Brighouse,Natural Law,129,0.25%,,,,,
,,,,,,,,,,
Coventry North East,,Robert Ainsworth,Labour,31856,66.25%,74274,22569,64.74%,Labour Hold,02/05/97 01:11
,,Michael Burnett,Conservative,9287,19.31%,,,,,
,,Geoffrey Sewards,Liberal Democrat,3866,8.04%,,,,,
,,Nick Brown,Liberal,1181,2.46%,,,,,
,,Ron Hurrell,Referendum,1125,2.34%,,,,,
,,Hanna Khamis,Socialist Labour,597,1.24%,,,,,
,,Christopher Sidwell,Rainbow Dream Ticket,173,0.36%,,,,,
,,,,,,,,,,
Coventry North West,,Geoffrey Robinson,Labour,30901,56.88%,76439,16601,71.07%,Labour Hold,02/05/97 01:48
,,Paul Bartlett,Conservative,14300,26.32%,,,,,
,,Napier Penlington,Liberal Democrat,5690,10.47%,,,,,
,,Douglas Butler,Referendum,1269,2.34%,,,,,
,,Dave Spencer,Socialist Labour,940,1.73%,,,,,
,,Rob Wheway,Liberal,687,1.26%,,,,,
,,Paul Mills,People's Labour,359,0.66%,,,,,
,,Leslie Francis,Rainbow Dream Ticket,176,0.32%,,,,,
,,,,,,,,,,
Coventry South,,Jim Cunningham,Labour,25511,50.90%,71826,10953,69.79%,Labour Hold,02/05/97 01:45
,,Paul Ivey,Conservative,14558,29.04%,,,,,
,,Gordon MacDonald,Liberal Democrat,4617,9.21%,,,,,
,,David Nellist,Socialist,3262,6.51%,,,,,
,,Paul Garratt,Referendum,943,1.88%,,,,,
,,Roger Jenking,Liberal,725,1.45%,,,,,
,,Jeffrey Astbury,British National,328,0.65%,,,,,
,,Anne-Marie Bradshaw,Rainbow Dream Ticket,180,0.36%,,,,,
,,,,,,,,,,
Crawley,,Laura Moffatt,Labour,27750,55.04%,69040,11707,73.03%,Labour Gain,02/05/97 03:24
,,Josephine Crabb,Conservative,16043,31.82%,,,,,
,,Harold D Souza,Liberal Democrat,4141,8.21%,,,,,
,,Ron Walters,Referendum,1931,3.83%,,,,,
,,Eric Saunders,United Kingdom Independence,322,0.64%,,,,,
,,Arshad Kahn,Independent,230,0.46%,,,,,
,,,,,,,,,,
Crewe and Nantwich,,Gwyneth Dunwoody,Labour,29460,58.22%,68694,15798,73.67%,Labour Hold,02/05/97 02:31
,,Michael Loveridge,Conservative,13662,27.00%,,,,,
,,David Cannon,Liberal Democrat,5940,11.74%,,,,,
,,Peter Astbury,Referendum,1543,3.05%,,,,,
,,,,,,,,,,
Crosby,,Clare Curtis-Tansley,Labour,22549,51.08%,57190,7182,77.18%,Labour Gain,02/05/97 00:31
,,Malcolm Thornton,Conservative,15367,34.81%,,,,,
,,Paul McVey,Liberal Democrat,5080,11.51%,,,,,
,,John Gauld,Referendum,813,1.84%,,,,,
,,John Marks,Liberal,233,0.53%,,,,,
,,William Hite,Natural Law,99,0.22%,,,,,
,,,,,,,,,,
Croydon Central,,Geraint Davies,Labour,25432,45.58%,80152,3897,69.62%,Labour Gain,02/05/97 02:11
,,David Congdon,Conservative,21535,38.59%,,,,,
,,George Schlich,Liberal Democrat,6061,10.86%,,,,,
,,Charles Cook,Referendum,1886,3.38%,,,,,
,,Mario-Simon Barnsley,Green,595,1.07%,,,,,
,,John Woollcott,United Kingdom Independence,290,0.52%,,,,,
,,,,,,,,,,
Croydon North,,Malcolm Wicks,Labour,32672,62.16%,77063,18398,68.21%,Labour Hold,02/05/97 01:56
,,Ian Martin,Conservative,14274,27.16%,,,,,
,,Martin Morris,Liberal Democrat,4066,7.74%,,,,,
,,Roger Billis,Referendum,1155,2.20%,,,,,
,,JR Feisenberger,United Kingdom Independence,396,0.75%,,,,,
,,,,,,,,,,
Croydon South,,Richard Ottaway,Conservative,25649,47.32%,73787,11930,73.45%,Conservative Hold,02/05/97 02:31
,,Charlie Burling,Labour,13719,25.31%,,,,,
,,Steven Gauge,Liberal Democrat,11441,21.11%,,,,,
,,Tony Barber,Referendum,2631,4.85%,,,,,
,,Paul Ferguson,British National,354,0.65%,,,,,
,,AG Harker,United Kingdom Independence,309,0.57%,,,,,
,,Mark Samuel,Independent,96,0.18%,,,,,
,,,,,,,,,,
Cumbernauld and Kilsyth,,Rosemary McKenna,Labour,21141,58.69%,48032,11128,75.00%,Labour Hold,02/05/97 01:31
,,Colin Barrie,Scottish National,10013,27.80%,,,,,
,,Ian Sewell,Conservative,2441,6.78%,,,,,
,,John Biggam,Liberal Democrat,1368,3.80%,,,,,
,,Jan Kara,People's Labour,609,1.69%,,,,,
,,Kenny McEwan,Scottish Socialist Alliance,345,0.96%,,,,,
,,Pamela Cook,Referendum,107,0.30%,,,,,
,,,,,,,,,,
Cunninghame North,,Brian Wilson,Labour,20686,50.30%,55526,11039,74.07%,Labour Hold,02/05/97 01:36
,,Margaret Mitchell,Conservative,9647,23.46%,,,,,
,,Kim Nicoll,Scottish National,7584,18.44%,,,,,
,,Karen Freel,Liberal Democrat,2271,5.52%,,,,,
,,Louise McDaid,Socialist Labour,501,1.22%,,,,,
,,Ian Winton,Referendum,440,1.07%,,,,,
,,,,,,,,,,
Cunninghame South,,Brian Donohoe,Labour,22233,62.73%,49543,14869,71.54%,Labour Hold,02/05/97 00:51
,,Margaret Burgess,Scottish National,7364,20.78%,,,,,
,,Pamela Paterson,Conservative,3571,10.08%,,,,,
,,Erlend Watson,Liberal Democrat,1604,4.53%,,,,,
,,Krishna Edwin,Socialist Labour,494,1.39%,,,,,
,,Allan Martlew,Referendum,178,0.50%,,,,,
,,,,,,,,,,
Cynon Valley,,Ann Clwyd,Labour,23307,69.74%,48286,19755,69.22%,Labour Hold,02/05/97 01:11
,,Alun Davies,Plaid Cymru,3552,10.63%,,,,,
,,Huw Price,Liberal Democrat,3459,10.35%,,,,,
,,Andrew Smith,Conservative,2260,6.76%,,,,,
,,Gwyn John,Referendum,844,2.53%,,,,,
,,,,,,,,,,
Dagenham,,Judith Church,Labour,23759,65.70%,58573,17054,61.74%,Labour Hold,02/05/97 02:14
,,James Fairrie,Conservative,6705,18.54%,,,,,
,,Thomas Dobrashian,Liberal Democrat,2704,7.48%,,,,,
,,Steven Kraft,Referendum,1411,3.90%,,,,,
,,William Binding,British National,900,2.49%,,,,,
,,Richard Dawson,Independent,349,0.97%,,,,,
,,Michael Hipperson,National Democratic Resistance,183,0.51%,,,,,
,,Kathleen Goble,People's Labour,152,0.42%,,,,,
,,,,,,,,,,
Darlington,,Alan Milburn,Labour,29658,61.57%,65140,16025,73.95%,Labour Hold,02/05/97 01:03
,,Peter Scrope,Conservative,13633,28.30%,,,,,
,,Leslie Boxell,Liberal Democrat,3483,7.23%,,,,,
,,Michael Blakey,Referendum,1399,2.90%,,,,,
,,,,,,,,,,
Dartford,,Howard Stoate,Labour,25278,48.58%,69726,4328,74.63%,Labour Gain,02/05/97 03:07
,,Bob Dunn,Conservative,20950,40.26%,,,,,
,,Dorothy Webb,Liberal Democrat,4872,9.36%,,,,,
,,Paul McHale,British National,424,0.81%,,,,,
,,Peter Homden,Independent,287,0.55%,,,,,
,,James Pollitt,Christian Democratic,228,0.44%,,,,,
,,,,,,,,,,
Daventry,,Timothy Boswell,Conservative,28615,46.34%,80151,7378,77.04%,Conservative Hold,02/05/97 16:35
,,Ken Ritchie,Labour,21237,34.39%,,,,,
,,John Gordon,Liberal Democrat,9233,14.95%,,,,,
,,Barbara Russocki,Referendum,2018,3.27%,,,,,
,,BJ Mahoney,United Kingdom Independence,443,0.72%,,,,,
,,Russell France,Natural Law,204,0.33%,,,,,
,,,,,,,,,,
Delyn,,David Hanson,Labour,23300,57.19%,53693,12693,75.88%,Labour Hold,02/05/97 01:23
,,Karen Lumley,Conservative,10607,26.03%,,,,,
,,Phil Lloyd,Liberal Democrat,4160,10.21%,,,,,
,,Ashley Drake,Plaid Cymru,1558,3.82%,,,,,
,,Elizabeth Soutter,Referendum,1117,2.74%,,,,,
,,,,,,,,,,
Denton and Reddish,,Andrew F Bennett,Labour,30137,65.40%,68866,20311,66.92%,Labour Hold,02/05/97 00:56
,,Barbara Nutt,Conservative,9826,21.32%,,,,,
,,Iain Donaldson,Liberal Democrat,6121,13.28%,,,,,
,,,,,,,,,,
Derby North,,Bob Laxton,Labour,29844,53.16%,76116,10615,73.76%,Labour Gain,02/05/97 03:06
,,Greg Knight,Conservative,19229,34.25%,,,,,
,,Robert Charlesworth,Liberal Democrat,5059,9.01%,,,,,
,,Paul Reynolds,Referendum,1816,3.23%,,,,,
,,Jane Waters,People's Labour,195,0.35%,,,,,
,,,,,,,,,,
Derby South,,Margaret Beckett,Labour,29154,56.26%,76386,16106,67.84%,Labour Hold,02/05/97 02:56
,,Javed Arain,Conservative,13048,25.18%,,,,,
,,Jeremy Beckett,Liberal Democrat,7438,14.35%,,,,,
,,John Browne,Referendum,1862,3.59%,,,,,
,,Robert Evans,National Democratic Resistance,317,0.61%,,,,,
,,,,,,,,,,
Derbyshire North East,,Harry Barnes,Labour,31425,60.46%,71653,18321,72.54%,Labour Hold,02/05/97 03:44
,,Simon Elliott,Conservative,13104,25.21%,,,,,
,,Stephen Hardy,Liberal Democrat,7450,14.33%,,,,,
,,,,,,,,,,
Derbyshire South,,Mark Todd,Labour,32709,54.54%,76672,13967,78.21%,Labour Gain,02/05/97 04:55
,,Edwina Currie,Conservative,18742,31.25%,,,,,
,,Rob Renold,Liberal Democrat,5408,9.02%,,,,,
,,Richard North,Referendum,2491,4.15%,,,,,
,,I Crompton,United Kingdom Independence,617,1.03%,,,,,
,,,,,,,,,,
Derbyshire West,,Patrick McLoughlin,Conservative,23945,42.10%,72716,4885,78.23%,Conservative Hold,02/05/97 04:26
,,Stephen Clamp,Labour,19060,33.51%,,,,,
,,Christopher Seeley,Liberal Democrat,9940,17.47%,,,,,
,,John Gouriet,Referendum,2499,4.39%,,,,,
,,Godfrey Meynell,Independent,593,1.04%,,,,,
,,Hugh Price,United Kingdom Independence,484,0.85%,,,,,
,,Nicholas Delves,Monster Raving Loony,281,0.49%,,,,,
,,Martin Kyslun,Independent,81,0.14%,,,,,
,,,,,,,,,,
Devizes,,Michael Ancram,Conservative,25710,42.82%,80383,9782,74.69%,Conservative Hold,02/05/97 03:34
,,Tony Vickers,Liberal Democrat,15928,26.53%,,,,,
,,Frank Jeffrey,Labour,14551,24.24%,,,,,
,,John Goldsmith,Referendum,3021,5.03%,,,,,
,,S Oram,United Kingdom Independence,622,1.04%,,,,,
,,Stephen Haysom,Natural Law,204,0.34%,,,,,
,,,,,,,,,,
Devon East,,Peter Emery,Conservative,22797,43.39%,69094,7494,76.05%,Conservative Hold,02/05/97 05:30
,,Rachel Trethewey,Liberal Democrat,15303,29.12%,,,,,
,,Andrew Siantonas,Labour,9292,17.68%,,,,,
,,William Dixon,Referendum,3200,6.09%,,,,,
,,Geoffrey Halliwell,Liberal,1363,2.59%,,,,,
,,C Giffard,United Kingdom Independence,459,0.87%,,,,,
,,Gary Needs,National Democratic Resistance,131,0.25%,,,,,
,,,,,,,,,,
Devon South West,,Gary Streeter,Conservative,22659,42.93%,69293,7397,76.17%,Conservative Hold,02/05/97 04:33
,,Chris Mavin,Labour,15262,28.92%,,,,,
,,Keith Baldry,Liberal Democrat,12542,23.76%,,,,,
,,Robert Sadler,Referendum,1668,3.16%,,,,,
,,HM King,United Kingdom Independence,491,0.93%,,,,,
,,Jon Hyde,Natural Law,159,0.30%,,,,,
,,,,,,,,,,
Devon West and Torridge,,John Burnett,Liberal Democrat,24744,41.84%,75919,1957,77.91%,Liberal Democrat Gain,02/05/97 04:16
,,Ian Liddell-Grainger,Conservative,22787,38.53%,,,,,
,,David Brenton,Labour,7319,12.37%,,,,,
,,Roger Lea,Referendum,1946,3.29%,,,,,
,,Matthew Jackson,United Kingdom Independence,1841,3.11%,,,,,
,,Michael Pithouse,Liberal,508,0.86%,,,,,
,,,,,,,,,,
Dewsbury,,Ann Taylor,Labour,21286,49.42%,61523,8323,70.01%,Labour Hold,02/05/97 02:42
,,Paul McCormick,Conservative,12963,30.09%,,,,,
,,Kingsley Hill,Liberal Democrat,4422,10.27%,,,,,
,,Frances Taylor,British National,2232,5.18%,,,,,
,,Wendy Goff,Referendum,1019,2.37%,,,,,
,,David Daniel,Independent,770,1.79%,,,,,
,,Ian McCourtie,Green,383,0.89%,,,,,
,,,,,,,,,,
Don Valley,,Caroline Flint,Labour,25376,58.26%,65643,14659,66.35%,Labour Hold,02/05/97 03:47
,,Clare Gledhill,Conservative,10717,24.60%,,,,,
,,Paul Johnston,Liberal Democrat,4238,9.73%,,,,,
,,Paul Davis,Referendum,1379,3.17%,,,,,
,,Nigel Ball,Socialist Labour,1024,2.35%,,,,,
,,Stephen Platt,Green,493,1.13%,,,,,
,,Claire Johnson,People's Labour,330,0.76%,,,,,
,,,,,,,,,,
Doncaster Central,,Rosie Winterton,Labour,26961,62.06%,67965,17856,63.92%,Labour Hold,02/05/97 03:24
,,David Turtle,Conservative,9105,20.96%,,,,,
,,Simon Tarry,Liberal Democrat,4091,9.42%,,,,,
,,Mike Cliff,Referendum,1273,2.93%,,,,,
,,Mick Kenny,Socialist Labour,854,1.97%,,,,,
,,Jonathan Redden,People's Labour,694,1.60%,,,,,
,,Peter Davies,United Kingdom Independence,462,1.06%,,,,,
,,,,,,,,,,
Doncaster North,,Kevin Hughes,Labour,27843,69.80%,63019,21937,63.30%,Labour Hold,02/05/97 02:47
,,Peter Kennerley,Conservative,5906,14.81%,,,,,
,,Michael Cook,Liberal Democrat,3369,8.45%,,,,,
,,Ron Thornton,Referendum,1589,3.98%,,,,,
,,McAlpine Swan,Independent,1181,2.96%,,,,,
,,,,,,,,,,
Dorset Mid and Poole North,,Christopher Fraser,Conservative,20632,40.67%,67049,681,75.67%,Conservative Gain,02/05/97 02:23
,,Alan Leaman,Liberal Democrat,19951,39.33%,,,,,
,,David Collis,Labour,8014,15.80%,,,,,
,,David Nabarro,Referendum,2136,4.21%,,,,,
,,,,,,,,,,
Dorset South,,Ian Cameron Bruce,Conservative,17755,36.10%,66318,77,74.16%,Conservative Hold,02/05/97 12:23
,,Jim Knight,Labour,17678,35.94%,,,,,
,,Michael Plummer,Liberal Democrat,9936,20.20%,,,,,
,,Patrick McAndrew,Referendum,2791,5.67%,,,,,
,,Malcolm Shakesby,United Kingdom Independence,861,1.75%,,,,,
,,Gerald Napper,Natural Law,161,0.33%,,,,,
,,,,,,,,,,
Dorset West,,Oliver Letwin,Conservative,22036,41.15%,70369,1840,76.10%,Conservative Hold,02/05/97 05:35
,,Robin Legg,Liberal Democrat,20196,37.71%,,,,,
,,Robert Bygrave,Labour,9491,17.72%,,,,,
,,P Jenkins,United Kingdom Independence,1590,2.97%,,,,,
,,Mark Griffiths,Natural Law,239,0.45%,,,,,
,,,,,,,,,,
Dover,,Gwyn Prosser,Labour,29535,54.49%,68669,11739,78.93%,Labour Gain,02/05/97 03:21
,,David Shaw,Conservative,17796,32.83%,,,,,
,,Mark Corney,Liberal Democrat,4302,7.94%,,,,,
,,Susan Anderson,Referendum,2124,3.92%,,,,,
,,CD Hyde,United Kingdom Independence,443,0.82%,,,,,
,,,,,,,,,,
Down North,,Robert McCartney,United Kingdom Unionist,12817,35.06%,63010,1449,58.02%,United Kingdom Unionist Gain,02/05/97 13:23
,,Alan McFarland,Ulster Unionist,11368,31.10%,,,,,
,,Oliver Napier,Alliance,7554,20.66%,,,,,
,,Leonard Fee,Conservative,1810,4.95%,,,,,
,,Marietta Farrell,Social Democratic and Labour,1602,4.38%,,,,,
,,Jane Morrice,Independent,1240,3.39%,,,,,
,,Tom Mullins,Natural Law,108,0.30%,,,,,
,,Robert Mooney,Independent,57,0.16%,,,,,
,,,,,,,,,,
Down South,,Eddie McGrady,Social Democratic and Labour,26181,52.91%,69855,9933,70.84%,Social Democratic and Labour Hold,02/05/97 14:50
,,Dermott Nesbitt,Ulster Unionist,16248,32.83%,,,,,
,,Mick Murphy,Sinn Féin,5127,10.36%,,,,,
,,Julian Crozier,Alliance,1711,3.46%,,,,,
,,Rosaleen McKeon,Natural Law,219,0.44%,,,,,
,,,,,,,,,,
Dudley North,,Ross Cranston,Labour,24471,51.19%,68835,9457,69.45%,Labour Hold,02/05/97 02:04
,,Charles MacNamara,Conservative,15014,31.40%,,,,,
,,Gerry Lewis,Liberal Democrat,3939,8.24%,,,,,
,,Mark Atherton,Socialist Labour,2155,4.51%,,,,,
,,Stuart Bavester,Referendum,1201,2.51%,,,,,
,,George E Cartwright,National Front,559,1.17%,,,,,
,,Simon Darby,National Democratic Resistance,469,0.98%,,,,,
,,,,,,,,,,
Dudley South,,Ian Pearson,Labour,27124,56.62%,66731,13027,71.78%,Labour Gain,02/05/97 00:54
,,Mark Simpson,Conservative,14097,29.43%,,,,,
,,Richard Burt,Liberal Democrat,5214,10.88%,,,,,
,,Connor Birch,Referendum,1467,3.06%,,,,,
,,,,,,,,,,
Dulwich and West Norwood,,Tessa Jowell,Labour,27807,60.96%,69655,16769,65.49%,Labour Hold,02/05/97 03:45
,,Roger Gough,Conservative,11038,24.20%,,,,,
,,Susan Kramer,Liberal Democrat,4916,10.78%,,,,,
,,Bruce Coles,Referendum,897,1.97%,,,,,
,,Alex Goldie,Liberal,587,1.29%,,,,,
,,David Goodman,Rainbow Dream Ticket,173,0.38%,,,,,
,,EC Pike,United Kingdom Independence,159,0.35%,,,,,
,,Captain Rizz,Independent,38,0.08%,,,,,
,,,,,,,,,,
Dumbarton,,John McFall,Labour Co-op,20470,49.61%,56229,10883,73.39%,Labour/Co-operative Gain,02/05/97 02:19
,,Bill Mackechnie,Scottish National,9587,23.23%,,,,,
,,Peter Ramsay,Conservative,7283,17.65%,,,,,
,,Alan Reid,Liberal Democrat,3144,7.62%,,,,,
,,Les Robertson,Scottish Socialist Alliance,283,0.69%,,,,,
,,George Dempster,Referendum,255,0.62%,,,,,
,,Derek Lancaster,United Kingdom Independence,242,0.59%,,,,,
,,,,,,,,,,
Dumfries,,Russell Brown,Labour,23528,47.51%,62759,9643,78.92%,Labour Gain,02/05/97 01:57
,,Struan Stevenson,Conservative,13885,28.04%,,,,,
,,Robert Higgins,Scottish National,5977,12.07%,,,,,
,,Neil Wallace,Liberal Democrat,5487,11.08%,,,,,
,,David Parker,Referendum,533,1.08%,,,,,
,,Liz Hunter,Natural Law,117,0.24%,,,,,
,,,,,,,,,,
Dundee East,,John McAllion,Labour,20718,51.12%,58388,9961,69.41%,Labour Hold,02/05/97 01:31
,,Shona Robison,Scottish National,10757,26.54%,,,,,
,,Bruce Mackie,Conservative,6397,15.78%,,,,,
,,Gurudeo Saluja,Liberal Democrat,1677,4.14%,,,,,
,,Ted Galloway,Referendum,601,1.48%,,,,,
,,Harvey Duke,Scottish Socialist Alliance,232,0.57%,,,,,
,,Elisabeth MacKenzie,Natural Law,146,0.36%,,,,,
,,,,,,,,,,
Dundee West,,Ernie Ross,Labour,20875,53.79%,57346,11859,67.67%,Labour Hold,02/05/97 01:47
,,John Dorward,Scottish National,9016,23.23%,,,,,
,,Neil Powrie,Conservative,5105,13.15%,,,,,
,,Elizabeth Dick,Liberal Democrat,2972,7.66%,,,,,
,,Mary Ward,Scottish Socialist Alliance,428,1.10%,,,,,
,,John MacMillan,Referendum,411,1.06%,,,,,
,,,,,,,,,,
Dunfermline East,,James Gordon Brown,Labour,24441,66.81%,52072,18751,70.25%,Labour Hold,02/05/97 00:49
,,John Ramage,Scottish National,5690,15.55%,,,,,
,,Iain Mitchell,Conservative,3656,9.99%,,,,,
,,Jim Tolson,Liberal Democrat,2164,5.92%,,,,,
,,Thomas Dunsmore,Referendum,632,1.73%,,,,,
,,,,,,,,,,
Dunfermline West,,Rachel Squire,Labour,19338,53.08%,52467,12354,69.44%,Labour Hold,02/05/97 01:52
,,John Lloyd,Scottish National,6984,19.17%,,,,,
,,Elizabeth Harris,Liberal Democrat,4963,13.62%,,,,,
,,Kevin Newton,Conservative,4606,12.64%,,,,,
,,James Bain,Referendum,543,1.49%,,,,,
,,,,,,,,,,
Durham North,,Giles Radice,Labour,33142,70.26%,67891,26299,69.48%,Labour Hold,02/05/97 02:02
,,Mark Hardy,Conservative,6843,14.51%,,,,,
,,Brian Moore,Liberal Democrat,5225,11.08%,,,,,
,,Ian Parkin,Referendum,1958,4.15%,,,,,
,,,,,,,,,,
Durham North West,,Hilary Armstrong,Labour,31855,68.77%,67156,24754,68.97%,Labour Hold,02/05/97 01:15
,,Louise St. John Howe,Conservative,7101,15.33%,,,,,
,,Anthony Thomas Gillings,Liberal Democrat,4991,10.78%,,,,,
,,Rodney Atkinson,Referendum,2372,5.12%,,,,,
,,,,,,,,,,
"Durham, City of",,Gerry Steinberg,Labour,31102,63.30%,69340,22504,70.86%,Labour Hold,02/05/97 02:29
,,Richard Chalk,Conservative,8598,17.50%,,,,,
,,Nigel Martin,Liberal Democrat,7499,15.26%,,,,,
,,Margaret Robson,Referendum,1723,3.51%,,,,,
,,Paul Kember,Natural Law,213,0.43%,,,,,
,,,,,,,,,,
Ealing Acton and Shepherd's Bush,,Clive Soley,Labour,28052,58.37%,72078,15650,66.68%,Labour Gain,02/05/97 03:01
,,Barbara Yerolemou,Conservative,12402,25.80%,,,,,
,,Andrew Mitchell,Liberal Democrat,5163,10.74%,,,,,
,,Christopher Winn,Referendum,637,1.33%,,,,,
,,Jack Gilbert,Socialist Labour,635,1.32%,,,,,
,,Joseph Gomm,United Kingdom Independence,385,0.80%,,,,,
,,Paul Danon,People's Labour,265,0.55%,,,,,
,,Christopher Beasley,Independent,209,0.43%,,,,,
,,William Edwards,Independent,163,0.34%,,,,,
,,Kevin Turner,Natural Law,150,0.31%,,,,,
,,,,,,,,,,
Ealing North,,Stephen Pound,Labour,29904,53.66%,78144,9160,71.31%,Labour Gain,02/05/97 02:25
,,Harry Greenway,Conservative,20744,37.22%,,,,,
,,Anjan Gupta,Liberal Democrat,3887,6.98%,,,,,
,,GM Slysz,United Kingdom Independence,689,1.24%,,,,,
,,Astra Siebe,Green,502,0.90%,,,,,
,,,,,,,,,,
Ealing Southall,,Piara Khabra,Labour,32791,60.01%,81704,21423,66.88%,Labour Hold,02/05/97 03:56
,,John Penrose,Conservative,11368,20.80%,,,,,
,,Nikki Thomson,Liberal Democrat,5687,10.41%,,,,,
,,Harpal Brar,Socialist Labour,2107,3.86%,,,,,
,,Nick Goodwin,Green,934,1.71%,,,,,
,,Bruce Cherry,Referendum,854,1.56%,,,,,
,,Kinga Klepacka,People's Labour,473,0.87%,,,,,
,,Richard Mead,United Kingdom Independence,428,0.78%,,,,,
,,,,,,,,,,
Easington,,John Cummings,Labour,33600,80.20%,62518,30012,67.01%,Labour Hold,02/05/97 01:18
,,Jason Hollands,Conservative,3588,8.56%,,,,,
,,James Heppell,Liberal Democrat,3025,7.22%,,,,,
,,Richard Pulfrey,Referendum,1179,2.81%,,,,,
,,Steve Colborn,Socialist,503,1.20%,,,,,
,,,,,,,,,,
East Ham,,Stephen Timms,Labour,25779,64.63%,65591,19358,60.81%,Labour Hold,02/05/97 03:42
,,Angela Bray,Conservative,6421,16.10%,,,,,
,,Imran Khan,Socialist Labour,2697,6.76%,,,,,
,,Michael Sole,Liberal Democrat,2599,6.52%,,,,,
,,Colin Smith,British National,1258,3.15%,,,,,
,,Joy McCann,Referendum,845,2.12%,,,,,
,,Graham Hardy,National Democratic Resistance,290,0.73%,,,,,
,,,,,,,,,,
East Kilbride,,Adam Ingram,Labour,27584,56.53%,65229,17384,74.81%,Labour Hold,02/05/97 01:47
,,George Gebbie,Scottish National,10200,20.90%,,,,,
,,Clifford Herbertson,Conservative,5863,12.02%,,,,,
,,Kate Philbrick,Liberal Democrat,3527,7.23%,,,,,
,,John Deighan,People's Labour,1170,2.40%,,,,,
,,Julie Gray,Referendum,306,0.63%,,,,,
,,Ewan Gilmour,Natural Law,146,0.30%,,,,,
,,,,,,,,,,
East Lothian,,John Home Robertson,Labour,22881,52.68%,57441,14221,75.61%,Labour Hold,02/05/97 01:12
,,Murdo Fraser,Conservative,8660,19.94%,,,,,
,,David McCarthy,Scottish National,6825,15.71%,,,,,
,,Alison MacAskill,Liberal Democrat,4575,10.53%,,,,,
,,Norman Nash,Referendum,491,1.13%,,,,,
,,,,,,,,,,
Eastbourne,,Nigel Waterson,Conservative,22183,42.12%,72347,1994,72.80%,Conservative Hold,02/05/97 03:42
,,Chris Berry,Liberal Democrat,20189,38.33%,,,,,
,,David Lines,Labour,6576,12.49%,,,,,
,,Trevor Lowe,Referendum,2724,5.17%,,,,,
