UK General Election Results 1997,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%Share,Electorate,Majority,Turnout,Status,Declaration
Argyll and Bute,,Ray Michie,Liberal Democrat,14359,40.20%,49451,6081,72.23%,Liberal Democrat Hold,02/05/97 11:43
,,Neil MacCormick,Scottish National,8278,23.17%,,,,,
,,Ralph Leishman,Conservative,6774,18.96%,,,,,
,,Ali Syed,Labour,5596,15.67%,,,,,
,,Michael Stewart,Referendum,713,2.00%,,,,,
,,,,,,,,,,
Arundel and South Downs,,Howard Flight,Conservative,27251,53.08%,67641,14035,75.90%,Conservative Gain,02/05/97 05:04
,,John Goss,Liberal Democrat,13216,25.74%,,,,,
,,Richard Black,Labour,9376,18.26%,,,,,
,,James Herbert,United Kingdom Independence,1494,2.91%,,,,,
,,,,,,,,,,
Ashfield,,Geoff Hoon,Labour,32979,65.17%,72269,22728,70.02%,Labour Hold,02/05/97 02:38
,,Mark Simmonds,Conservative,10251,20.26%,,,,,
,,Bill Smith,Liberal Democrat,4882,9.65%,,,,,
,,Martin Betts,Referendum,1896,3.75%,,,,,
,,Steven Belshaw,British National,595,1.18%,,,,,
,,,,,,,,,,
Ashford,,Damian Green,Conservative,22899,41.41%,74149,5355,74.57%,Conservative Hold,02/05/97 04:41
,,John Ennals,Labour,17544,31.73%,,,,,
,,John Williams,Liberal Democrat,10901,19.71%,,,,,
,,Christopher Cruden,Referendum,3201,5.79%,,,,,
,,Richard Boden,Green,660,1.19%,,,,,
,,Stephen Tyrrell,Natural Law,89,0.16%,,,,,
,,,,,,,,,,
Ashton-under-Lyne,,Robert Sheldon,Labour,31919,67.51%,72206,22965,65.48%,Labour Hold,02/05/97 00:26
,,Richard Mayson,Conservative,8954,18.94%,,,,,
,,Timothy Pickstone,Liberal Democrat,4603,9.74%,,,,,
,,Lorraine Clapham,Referendum,1346,2.85%,,,,,
,,Prince Cymbal,Monster Raving Loony,458,0.97%,,,,,
,,,,,,,,,,
