General election results 2010,,,Party,Votes,Share,*lost deposit,change since 2005,
, ,"Boudier, R.",Lab,2'210,5.8,,-,6.3
, ,"Williams, E.W.",UKIP,977,2.6,*,, 
, ,"Kiersch, L. Ms.",GRN,696,1.8,*,-,0.5
, , , ,-----,---,, , 
2005: LD,, , ,8'324,21.8,, , 
Charnwood [136],74'473,71.9,"Dorrell, S.J.*",Con,26'560,49.6,,+,3
, ,"Webber-Jones, R.",LD,11'531,21.5,,+,3.2
, ,"Goodyer, E.",Lab,10'536,19.7,,-,8.9
, ,"Duffy, C.A.M. Ms.",BNP,3'116,5.8,,+,2.2
, ,"Storier, M.E.",UKIP,1'799,3.4,*,+,0.4
, , , ,-----,---,, , 
2005: Con,, , ,15'029,28.1,, , 
Chatham and Aylesford [137],67'964,64.5,"Crouch, T.E.A. Ms.",Con,20'230,46.2,,+,9.4
, ,"Shaw, J.R.*",Lab,14'161,32.3,,-,12.7
, ,"McClintock, J.H.C.",LD,5'832,13.3,,-,0.2
, ,"McCarthy-Stewart, C.J.",BNP,1'365,3.1,*,, 
, ,"Newton, S.W.",UKIP,1'314,3,*,+,0
, ,"Varnham, S.M.",ED,400,0.9,*,, 
, ,"Arthur, D.",GRN,396,0.9,*,, 
, ,"Smith, M.I. Ms.",Ch P,109,0.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,6'069,13.9,, , 
Cheadle [138],71'635,73.3,"Hunter, M.J.*",LD,24'717,47.1,,-,0.7
, ,"Jeffreys, B.",Con,21'445,40.8,,+,0.5
, ,"Miller, M.",Lab,4'920,9.4,,-,0.5
, ,"Moore, T.",UKIP,1'430,2.7,*,+,1.5
, , , ,-----,---,, , 
2005: LD,, , ,3'272,6.2,, , 
Chelmsford [139],77'525,70.4,"Burns, S.H.M.*",Con,25'207,46.2,,+,6.7
, ,"Robinson, S.J.",LD,20'097,36.8,,+,6.6
, ,"Dixon, P.A.",Lab,5'980,11,,-,16
, ,"Wedon, K.A.E.",UKIP,1'527,2.8,*,-,0.6
, ,"Bateman, M.R.",BNP,899,1.6,*,, 
, ,"Thomson, A.J. Ms.",GRN,476,0.9,*,, 
, ,"Tilbrook, C.E. Ms.",ED,254,0.5,*,, 
, ,"Sherman, B.J.",RTBP,153,0.3,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,5'110,9.4,, , 
Chelsea and Fulham [140],66'257,60.2,"Hands, G.*",Con,24'093,60.5,,+,5.2
, ,"Hilton, A.J.P.",Lab,7'371,18.5,,-,6.9
, ,"Hazell, D.",LD,6'473,16.2,,+,2.2
, ,"Stephenson, J.C. Ms.",GRN,671,1.7,*,-,2.5
, ,"Gittos, T.",UKIP,478,1.2,*,+,0.1
, ,"McDonald, B.",BNP,388,1,*,, 
, ,"Courtenay, R.B.",NICF,196,0.5,*,, 
, ,"Roseman, G.",ED,169,0.4,*,, 
, ,"Spickernell, G.",Blue,17,0,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,16'722,42,, , 
Cheltenham [141],78'998,66.8,"Horwood, M.C.*",LD,26'659,50.5,,+,11.1
, ,"Coote, M.S.",Con,21'739,41.2,,+,2.4
, ,"Green, J.",Lab,2'703,5.1,,-,6.7
, ,"Bowman, P.",UKIP,1'192,2.3,*,+,1
, ,"Hanks, D.",MRLP,493,0.9,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,4'920,9.3,, , 
Chesham and Amersham [142],70'333,74.6,"Gillan, C.E.K. Ms.*",Con,31'658,60.4,,+,6.8
, ,"Starkey, T.L.",LD,14'948,28.5,,+,2.3
, ,"Gajadharsingh, A.G.",Lab,2'942,5.6,,-,8
, ,"Stevens, A.P.",UKIP,2'129,4.1,*,+,0.9
, ,"Wilkins, N.J.E.",GRN,767,1.5,*,-,2
, , , ,-----,---,, , 
2005: Con,, , ,16'710,31.9,, , 
Chester [143],70'131,66.7,"Mosley, S.J.",Con,18'995,40.6,,+,3.8
, ,"Russell, C.M. Ms.*",Lab,16'412,35.1,,-,3.9
, ,"Jewkes, E.B. Ms.",LD,8'930,19.1,,-,2.7
, ,"Weddell, A.A.J.",UKIP,1'225,2.6,*,+,0.9
, ,"Abrams, R.E.",ED,594,1.3,*,, 
, ,"Barker, M.T.",GRN,535,1.1,*,, 
, ,"Whittingham, J.P.",Ind,99,0.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,2'583,5.5,, , 
Chesterfield [144],71'878,63.8,"Perkins, T.",Lab,17'891,39,,-,1.6
, ,"Holmes, P.R.*",LD,17'342,37.8,,-,9.1
, ,"Abbott, C. Ms.",Con,7'214,15.7,,+,7.5
, ,"Phillips, D.",UKIP,1'432,3.1,*,+,0.9
, ,"Jerram, I.L.",ED,1'213,2.6,*,, 
, ,"Kerr, D.A.",GRN,600,1.3,*,, 
, ,"Daramy, J.N.",Ind,147,0.3,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,549,1.2,, , 
Chichester [145],81'576,69.6,"Tyrie, A.*",Con,31'427,55.3,,+,7.4
, ,"Lury, M.",LD,15'550,27.4,,-,0.3
, ,"Holland, S.",Lab,5'937,10.5,,-,8.1
, ,"Moncrieff, A.",UKIP,3'873,6.8,,+,1
, , , ,-----,---,, , 
2005: Con,, , ,15'877,28,, , 
Chingford and Woodford Green [146],64'831,66.5,"Duncan Smith, I.*",Con,22'743,52.8,,-,0.4
, ,"Arakelian, C. Ms.",Lab,9'780,22.7,,-,3
, ,"Seeff, G.M.",LD,7'242,16.8,,-,0.9
, ,"Leppert, J.P.",BNP,1'288,3,*,, 
, ,"Jones, N.",UKIP,1'133,2.6,*,-,0.2
, ,"Craig, L. Ms.",GRN,650,1.5,*,, 
, ,"Above, N.",Ind,202,0.5,*,, 
, ,"White, B.J.",Ind,68,0.2,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,12'963,30.1,, , 
Chippenham [147],72'106,72.6,"Hames, D.J.",LD,23'970,45.8,,+,3.3
, ,"Emmanuel-Jones, W.",Con,21'500,41,,+,3.3
, ,"Lovell, G.S.",Lab,3'620,6.9,,-,9.9
, ,"Reid, J. Ms.",UKIP,1'783,3.4,*,+,0.3
, ,"Simpkins, M.",BNP,641,1.2,*,, 
, ,"Fletcher, S. Ms.",GRN,446,0.9,*,, 
, ,"Maguire, J.P.",ED,307,0.6,*,, 
, ,"Sexton, R.G.",Ch P,118,0.2,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,2'470,4.7,, , 
Chipping Barnet [148],75'120,67.4,"Villiers, T. Ms.*",Con,24'700,48.8,,+,2.9
, ,"Welfare, D.",Lab,12'773,25.2,,-,8.6
, ,"Barber, S.D.",LD,10'202,20.2,,+,4.9
, ,"Fluss, J.G.",UKIP,1'442,2.8,*,+,0.8
, ,"Tansley, K. Ms.",GRN,1'021,2,*,-,0.8
, ,"Clayton, P.G.",Ind,470,0.9,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,11'927,23.6,, , 
Chorley [149],70'976,70.1,"Hoyle, L.H.*",Lab,21'515,43.2,,-,7.6
, ,"Cullens, A.",Con,18'922,38,,+,3.6
, ,"Fenn, S.J.",LD,6'957,14,,-,0.7
, ,"Hogan, N.",UKIP,2'021,4.1,*,, 
, ,"Curtis, C.",Ind,359,0.7,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,2'593,5.2,, , 
Christchurch [150],68'859,71.8,"Chope, C.R.*",Con,27'888,56.4,,+,1.1
, ,"Hurll, M.J.",LD,12'478,25.3,,+,1.2
, ,"Deeks, R.W.I.",Lab,4'849,9.8,,-,5.8
, ,"Williams, D.J.",UKIP,4'201,8.5,,+,3.4
, , , ,-----,---,, , 
2005: Con,, , ,15'410,31.2,, , 
Cities of London and Westminster [151],66'849,55.2,"Field, M.C.*",Con,19'264,52.2,,+,3.9
, ,"Rowntree, D.A.D.",Lab,8'188,22.2,,-,3.1
, ,"Smith, N. Ms.",LD,7'574,20.5,,+,2
, ,"Chase, D.",GRN,778,2.1,*,-,2.2
, ,"Weston, P.M.L.",UKIP,664,1.8,*,+,0.7
, ,"Roseman, F.",ED,191,0.5,*,, 
, ,"Delderfield, D.W.",Ind,98,0.3,*,, 
, ,"Nunn, J.S.",Pirate,90,0.2,*,, 
, ,"Mad, C.",Ind,84,0.2,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,11'076,30,, , 
Clacton [152],67'194,64.2,"Carswell, J.D.W.*",Con,22'867,53,,+,8.6
, ,"Henderson, I.J.",Lab,10'799,25,,-,10.9
, ,"Green, M.A.",LD,5'577,12.9,,-,0.6
, ,"Taylor, J.C.",BNP,1'975,4.6,*,, 
, ,"Allen, E.T.",TF,1'078,2.5,*,, 
, ,"Southall, C.J.",GRN,535,1.2,*,, 
, ,"Humphrey, C.A.",Ind,292,0.7,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,12'068,28,, , 
Cleethorpes [153],70'214,64,"Vickers, M.J.",Con,18'939,42.1,,+,4.8
, ,"McIsaac, S. Ms.*",Lab,14'641,32.6,,-,10.8
, ,"Morland, M.",LD,8'192,18.2,,+,3.5
, ,"Harness, S.W.",UKIP,3'194,7.1,,+,2.5
, , , ,-----,---,, , 
2005: Lab,, , ,4'298,9.6,, , 
Clwyd South [154],53'748,64.5,"Jones, S.E. Ms.",Lab,13'311,38.4,,-,6.8
, ,"Bell, J.",Con,10'477,30.2,,+,4.8
, ,"Roberts, B.S.S.",LD,5'965,17.2,,+,1.7
, ,"Ryder, J. Ms.",PC,3'009,8.7,,-,0.8
, ,"Hynes, S.A. Ms.",BNP,1'100,3.2,*,, 
, ,"Powell, N.E.",UKIP,819,2.4,*,+,0.4
, , , ,-----,---,, , 
2005: Lab,, , ,2'834,8.2,, , 
Clwyd West [155],57'913,65.8,"Jones, D.I.*",Con,15'833,41.5,,+,5.4
, ,"Hutton, D.E. Ms.",Lab,9'414,24.7,,-,11.3
, ,"Gruffydd, L.H.",PC,5'864,15.4,,+,4.5
, ,"Jones, H.M. Ms.",LD,5'801,15.2,,+,1.9
, ,"Nicholson, W.J.",UKIP,864,2.3,*,+,0.8
, ,"Griffiths, D.P.",Ch P,239,0.6,*,, 
, ,"Blakesley, J.L.G.",Ind,96,0.3,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,6'419,16.8,, , 
"Coatbridge Chryston and Bellshill [156]",70'067,59.4,"Clarke, T.*",Lab,27'728,66.6,,+,2.1
, ,"McGlinchey, F.M. Ms.",SNP,7'014,16.8,,+,3.3
, ,"Elder, K.C.",LD,3'519,8.5,,-,3.6
, ,"Houston, F. Ms.",Con,3'374,8.1,,+,0.9
, , , ,-----,---,, , 
2005: Lab,, , ,20'714,49.8,, , 
Colchester [157],74'064,62.3,"Russell, R.E.*",LD,22'151,48,,+,0.3
, ,"Quince, W.J.",Con,15'169,32.9,,+,0.8
, ,"Newell, J.A.",Lab,5'680,12.3,,-,7.9
, ,"Pitts, J.",UKIP,1'350,2.9,*,, 
, ,"Chaney, S.A.",BNP,705,1.5,*,, 
, ,"Lynn, P.J.",GRN,694,1.5,*,, 
, ,"Bone, E.",ED,335,0.7,*,, 
, ,"Noble, G.H.S.",PPE,35,0.1,*,, 
, ,"Shaw, P.R.",ND,20,0,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,6'982,15.1,, , 
Colne Valley [158],80'060,69.1,"McCartney, J.A.",Con,20'440,37,,+,4.1
, ,"Turner, N. Ms.",LD,15'603,28.2,,+,3.7
, ,"Abrahams, D.A. Ms.",Lab,14'589,26.4,,-,9
, ,"Fowler, B.",BNP,1'893,3.4,*,+,0.6
, ,"Roberts, M. Ms.",UKIP,1'163,2.1,*,, 
, ,"Ball, C.",GRN,867,1.6,*,-,1.2
, ,"Grunsell, J. Ms.",TUSC,741,1.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,4'837,8.7,, , 
Congleton [159],72'280,70.3,"Bruce, F.C. Ms.",Con,23'250,45.8,,+,0.4
, ,"Hirst, P.J.",LD,16'187,31.9,,+,5
, ,"Bryant, D.J.",Lab,8'747,17.2,,-,10.5
, ,"Slaughter, L.W.",UKIP,2'147,4.2,*,, 
, ,"Edwards, P.J.",Ind,276,0.5,*,, 
, ,"Rothwell, P.",ND,94,0.2,*,, 
, ,"Parton, A.R.",Ind,79,0.2,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,7'063,13.9,, , 
Copeland [160],63'149,67.8,"Reed, J.R.*",Lab,19'699,46,,-,0.7
, ,"Whiteside, C.J.",Con,15'866,37.1,,+,3.6
, ,"Hollowell, F.G.",LD,4'365,10.2,,-,3.7
, ,"Jefferson, C.",BNP,1'474,3.4,*,, 
, ,"Caley-Knowles, E.",UKIP,994,2.3,*,+,0
, ,"Perry, J.B. Ms.",GRN,389,0.9,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,3'833,9,, , 
Corby [161],78'024,69.5,"Bagshawe, L.D. Ms.",Con,22'886,42.2,,+,2.2
, ,"Hope, P.I.*",Lab,20'991,38.7,,-,4.4
, ,"Wilson, P.C. Ms.",LD,7'834,14.4,,+,1.7
, ,"Davies, R.R.",BNP,2'525,4.7,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,1'895,3.5,, , 
Cornwall North [162],67'940,68.9,"Rogerson, D.J.*",LD,22'512,48.1,,+,5.7
, ,"Flynn, S.P. Ms.",Con,19'531,41.7,,+,6.3
, ,"Damerell-O'Connor, M.J. Ms.",UKIP,2'300,4.9,*,-,0.8
, ,"Hulme, J.E. Ms.",Lab,1'971,4.2,*,-,8.3
, ,"Willett, J.M.A. Ms.",MK,530,1.1,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,2'981,6.4,, , 
Cornwall South East [163],71'373,69.5,"Murray, S. Ms.",Con,22'390,45.1,,+,10.1
, ,"Gillard, K. Ms.",LD,19'170,38.6,,-,8.1
, ,"Sparling, M.H.",Lab,3'507,7.1,,-,3.4
, ,"McWilliam, S. Ms.",UKIP,3'083,6.2,,+,1.1
, ,"Creagh-Osborne, R.M.",GRN,826,1.7,*,, 
, ,"Holmes, R.G.",MK,641,1.3,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,3'220,6.5,, , 
"Cotswold [164]",76'729,71.5,"Clifton-Brown, G.R.*",Con,29'075,53,,+,3.7
, ,"Collins, M.J.D.",LD,16'211,29.6,,+,1.5
, ,"Dempsey, M.E.",Lab,5'886,10.7,,-,7.9
, ,"Blake, A.G.",UKIP,2'292,4.2,*,+,1
, ,"Lister, K.J.",GRN,940,1.7,*,, 
, ,"Steel, J.A.D.",Ind,428,0.8,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,12'864,23.5,, , 
Coventry North East [165],73'035,59.4,"Ainsworth, B.*",Lab,21'384,49.3,,-,7.6
, ,"Noonan, H. Ms.",Con,9'609,22.1,,+,3.3
, ,"Field, R.D.",LD,7'210,16.6,,+,0.1
, ,"Gower, T.",BNP,1'863,4.3,*,, 
, ,"Nellist, D.",Soc Alt,1'592,3.7,*,, 
, ,"Forbes, C.",UKIP,1'291,3,*,+,0.2
, ,"Lebar, R.",Ch M,434,1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,11'775,27.1,, , 
Coventry North West [166],72'871,63.9,"Robinson, G.*",Lab,19'936,42.8,,-,5.2
, ,"Ridley, G.C.",Con,13'648,29.3,,+,2.7
, ,"McKee, V.",LD,8'344,17.9,,-,0.5
, ,"Sheppard, E.J.",BNP,1'666,3.6,*,-,0.1
, ,"Nattrass, M.",UKIP,1'295,2.8,*,+,1
, ,"Clarke, J.N.",Ind,640,1.4,*,, 
, ,"Wood, J.",GRN,497,1.1,*,, 
, ,"Downes, N. Ms.",Soc Alt,370,0.8,*,, 
, ,"Sidhu, W.",Ch M,164,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,6'288,13.5,, , 
Coventry South [167],73'652,62.4,"Cunningham, J.*",Lab,19'197,41.8,,-,4
, ,"Foster, K.J.",Con,15'352,33.4,,+,2.8
, ,"Patton, B.D.",LD,8'278,18,,+,0.4
, ,"Taylor, M.",UKIP,1'767,3.8,*,+,1.8
, ,"Griffiths, J. Ms.",Soc Alt,691,1.5,*,, 
, ,"Gray, S.R.G.",GRN,639,1.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,3'845,8.4,, , 
Crawley [168],72'781,65.3,"Smith, H.E.M.",Con,21'264,44.8,,+,5.8
, ,"Oxlade, C.",Lab,15'336,32.3,,-,6.8
, ,"Vincent, J.W.",LD,6'844,14.4,,-,1.1
, ,"Trower, R.J.",BNP,1'672,3.5,*,+,0.5
, ,"French, C.",UKIP,1'382,2.9,*,+,0.7
, ,"Smith, P.P.",GRN,598,1.3,*,, 
, ,"Khan, A.",JP,265,0.6,*,, 
, ,"Hubner, A.P.",Ind,143,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,5'928,12.5,, , 
Crewe and Nantwich [169],79'728,64.1,"Timpson, A.E.*",Con,23'420,45.8,,+,12.9
, ,"Williams, D.A.",Lab,17'374,34,,-,14.4
, ,"Wood, R.J.",LD,7'656,15,,-,3.7
, ,"Clutton, J.R.",UKIP,1'414,2.8,*,, 
, ,"Williams, P.",BNP,1'043,2,*,, 
, ,"Parsons, M.",Ind,177,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,6'046,11.8,, , 
Croydon Central [170],76'349,65.1,"Barwell, G.L.",Con,19'567,39.4,,-,1
, ,"Ryan, M.G.",Lab,16'688,33.6,,-,7.5
, ,"Lambell, P.J.",LD,6'553,13.2,,+,0.4
, ,"Pelling, A.J.*",Ind,3'239,6.5,, , 
, ,"Le May, C.J.",BNP,1'448,2.9,*,, 
, ,"Atkinson, R.S.",UKIP,997,2,*,-,0.2
, ,"Golberg, B.C. Ms.",GRN,581,1.2,*,-,1
, ,"Gitau, J.K.N.",Ch P,264,0.5,*,, 
, ,"Cartwright, J.S.",MRLP,192,0.4,*,, 
, ,"Castle, M.M.",Ind,138,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,2'879,5.8,, , 
Croydon North [171],85'216,60.6,"Wicks, M.H.*",Lab,28'947,56,,+,2.4
, ,"Hadden, J.M.",Con,12'466,24.1,,+,1.9
, ,"Jerome, G.",LD,7'226,14,,-,3.2
, ,"Khan, S.",GRN,1'017,2,*,-,0.9
, ,"Serter, J.N.",UKIP,891,1.7,*,-,0
, ,"Williams, N.L. Ms.",Ch P,586,1.1,*,, 
, ,"Shaikh, M.",Respect,272,0.5,*,, 
, ,"Stevenson, B.",Comm,160,0.3,*,, 
, ,"Seyed Mohamed, M.B.",Ind,111,0.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,16'481,31.9,, , 
Croydon South [172],81'303,69.3,"Ottaway, R.G.J.*",Con,28'684,50.9,,-,1.1
, ,"Rix, S.",LD,12'866,22.8,,+,2.4
, ,"Avis, J. Ms.",Lab,11'287,20,,-,4
, ,"Bolter, J.W.",UKIP,2'504,4.4,*,+,2.3
, ,"Ross, G.H.",GRN,981,1.7,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,15'818,28.1,, , 
"Cumbernauld Kilsyth and Kirkintilloch East [173]",64'037,64.3,"McClymont, G.",Lab,23'549,57.2,,+,5.4
, ,"Hepburn, J. Ms.",SNP,9'794,23.8,,+,1.6
, ,"Ackland, R.",LD,3'924,9.5,,-,5.3
, ,"Fraser, S.M. Ms.",Con,3'407,8.3,,+,1.3
, ,"O'Neill, W.",SSP,476,1.2,*,-,1.8
, , , ,-----,---,, , 
2005: Lab,, , ,13'755,33.4,, , 
Cynon Valley [174],50'650,59,"Clwyd, A. Ms.*",Lab,15'681,52.5,,-,10.5
, ,"Davies, D.T.",PC,6'064,20.3,,+,6.8
, ,"Thacker, L.N.",LD,4'120,13.8,,+,1.6
, ,"Ash, J.K.C. Ms.",Con,3'010,10.1,,+,1.5
, ,"Hughes, F.R.W.",UKIP,1'001,3.4,*,+,0.7
, , , ,-----,---,, , 
2005: Lab,, , ,9'617,32.2,, , 
Dagenham and Rainham [175],69'764,63.4,"Cruddas, J.*",Lab,17'813,40.3,,-,8.9
, ,"Jones, S.A.P.",Con,15'183,34.3,,+,0.9
, ,"Barnbrook, M.J.",BNP,4'952,11.2,,+,6.8
, ,"Bourke, J.G.",LD,3'806,8.6,,-,0.4
, ,"Litwin, C.J.",UKIP,1'569,3.5,*,-,0.4
, ,"Kennedy, G.",Ind,308,0.7,*,, 
, ,"Watson, P.D. Ms.",Ch P,305,0.7,*,, 
, ,"Rosaman, D.A. Ms.",GRN,296,0.7,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,2'630,5.9,, , 
Darlington [176],68'168,62.9,"Chapman, J. Ms.",Lab,16'891,39.4,,-,12.9
, ,"Legard, E.",Con,13'503,31.5,,+,5.4
, ,"Barker, M.",LD,10'046,23.4,,+,5
, ,"Foster, A.M. Ms.",BNP,1'262,2.9,*,, 
, ,"Bull, C.E. Ms.",UKIP,1'194,2.8,*,+,0.9
, , , ,-----,---,, , 
2005: Lab,, , ,3'388,7.9,, , 
Dartford [177],76'271,65.7,"Johnson, G.A.",Con,24'428,48.8,,+,7.6
, ,"Adams, J.P.",Lab,13'800,27.6,,-,15.5
, ,"Willis, J.M.",LD,7'361,14.7,,+,4.6
, ,"Rogers, G.P.",ED,2'178,4.3,*,, 
, ,"Palmer, R.F.",UKIP,1'842,3.7,*,+,0.7
, ,"Tindame, S.",Ind,264,0.5,*,, 
, ,"Crockford, J.K.",FDP,207,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,10'628,21.2,, , 
Daventry [178],71'452,72.5,"Heaton-Harris, C.",Con,29'252,56.5,,+,3.5
, ,"McGlynn, C.G.",LD,10'064,19.4,,+,4.9
, ,"Corazzo, P.A.",Lab,8'168,15.8,,-,12.1
, ,"Broomfield, P.J.",UKIP,2'333,4.5,*,+,1.6
, ,"Bennett-Spencer, A.",ED,1'187,2.3,*,, 
, ,"Whiffen, S.J.",GRN,770,1.5,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,19'188,37.1,, , 
Delyn [179],53'470,69.2,"Hanson, D.G.*",Lab,15'083,40.8,,-,4.9
, ,"Sandbach, A.G.M. Ms.",Con,12'811,34.6,,+,8.5
, ,"Brereton, W.D.",LD,5'747,15.5,,-,2.4
, ,"Ryder, P.",PC,1'844,5,*,-,2.4
, ,"Matthys, J.A. Ms.",BNP,844,2.3,*,, 
, ,"Haigh, A.M.",UKIP,655,1.8,*,+,0.2
, , , ,-----,---,, , 
2005: Lab,, , ,2'272,6.1,, , 
Denton and Reddish [180],66'330,56.7,"Gwynne, A.J.*",Lab,19'191,51,,-,6.7
, ,"Searle, J. Ms.",Con,9'360,24.9,,+,5.8
, ,"Broadhurst, S.J.",LD,6'727,17.9,,+,1.6
, ,"Robinson, W.",UKIP,2'060,5.5,,+,2.3
, ,"Dennis, J.",Ind,297,0.8,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,9'831,26.1,, , 
Derby North [181],71'474,63.1,"Williamson, C.",Lab,14'896,33,,-,9
, ,"Mold, S.",Con,14'283,31.7,,+,5.8
, ,"Care, L.H. Ms.",LD,12'638,28,,+,0.5
, ,"Cheeseman, P.",BNP,2'000,4.4,*,, 
, ,"Ransome, E.L.C. Ms.",UKIP,829,1.8,*,-,0.2
, ,"Gale, D.",Ind,264,0.6,*,, 
, ,"Geraghty, D.",Pirate,170,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,613,1.4,, , 
Derby South [182],70'999,58,"Beckett, M.M. Ms.*",Lab,17'851,43.3,,-,9.8
, ,"Perschke, J.",Con,11'729,28.5,,+,8.7
, ,"Batey, D.R.",LD,8'430,20.5,,-,3.7
, ,"Fowke, S.",UKIP,1'821,4.4,*,+,3
, ,"Graves, A.",Ind,1'357,3.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,6'122,14.9,, , 
Derbyshire Dales [183],63'376,73.8,"McLoughlin, P.A.*",Con,24'378,52.1,,+,5.6
, ,"Naitta, H.S.J.",LD,10'512,22.5,,-,1.9
, ,"Swindell, C.",Lab,9'061,19.4,,-,6.3
, ,"Guiver, I.",UKIP,1'779,3.8,*,+,1.3
, ,"Stockell, J.",GRN,772,1.7,*,, 
, ,"Delves, N.C.E.",MRLP,228,0.5,*,, 
, ,"Y'mech, A.",Hum,50,0.1,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,13'866,29.6,, , 
Derbyshire Mid [184],66'074,71.6,"Latham, P.E. Ms.",Con,22'877,48.3,,+,1.1
, ,"Dhindsa, H.S.",Lab,11'585,24.5,,-,10.2
, ,"McIntosh, S.A. Ms.",LD,9'711,20.5,,+,4.5
, ,"Allsebrook, L.R.",BNP,1'698,3.6,*,, 
, ,"Kay, T.",UKIP,1'252,2.6,*,+,0.5
, ,"Seerius, R.U.",MRLP,219,0.5,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,11'292,23.9,, , 
Derbyshire North East [185],71'398,65.9,"Engel, N. Ms.*",Lab,17'948,38.2,,-,10.1
, ,"Merriman, H.W.",Con,15'503,33,,+,7
, ,"Bull, R.E.",LD,10'947,23.3,,+,1.8
, ,"Bush, J.H.",UKIP,2'636,5.6,,+,1.2
, , , ,-----,---,, , 
2005: Lab,, , ,2'445,5.2,, , 
Derbyshire South [186],70'608,71.4,"Wheeler, H.K. Ms.",Con,22'935,45.5,,+,8.1
, ,"Edwards, M.M.",Lab,15'807,31.4,,-,11.5
, ,"Diouf, A.S.",LD,8'012,15.9,,+,3
, ,"Jarvis, P.C.D.",BNP,2'193,4.3,*,+,0.3
, ,"Swabey, J.C.M.",UKIP,1'206,2.4,*,, 
, ,"Liversuch, P.A.",Soc Lab,266,0.5,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,7'128,14.1,, , 
Devizes [187],67'379,68.8,"Perry, C.L. Ms.",Con,25'519,55.1,,+,4
, ,"Hornby, F.C. Ms.",LD,12'514,27,,+,4.7
, ,"Ali, J.",Lab,4'711,10.2,,-,12.2
, ,"Bryant, P.A. Ms.",UKIP,2'076,4.5,*,+,0.2
, ,"Fletcher, M.",GRN,813,1.8,*,, 
, ,"Houlden, M.J.",Ind,566,1.2,*,, 
, ,"Coombe, N.",Libert,141,0.3,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,13'005,28.1,, , 
Devon Central [188],71'203,75.7,"Stride, M.J.",Con,27'737,51.5,,+,7.7
, ,"Hutty, P.A.",LD,18'507,34.4,,-,4.4
, ,"Macdonald, M. Ms.",Lab,3'715,6.9,,-,4.7
, ,"Edwards, R.C.",UKIP,2'870,5.3,,-,0.5
, ,"Matthews, C.R.",GRN,1'044,1.9,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,9'230,17.1,, , 
Devon East [189],73'109,72.6,"Swire, H.G.W.*",Con,25'662,48.3,,+,1.1
, ,"Robathan, D.P.",LD,16'548,31.2,,+,3.1
, ,"Manson, G.T.",Lab,5'721,10.8,,-,7.5
, ,"Amor, M.J.",UKIP,4'346,8.2,,+,2.6
, ,"Pavey, S. Ms.",GRN,815,1.5,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,9'114,17.2,, , 
Devon North [190],74'508,68.9,"Harvey, N.B.*",LD,24'305,47.4,,+,0.9
, ,"Milton, P.J.",Con,18'484,36,,+,0.3
, ,"Crowther, S.J.",UKIP,3'720,7.2,,+,2
, ,"Cann, M.M.R.",Lab,2'671,5.2,,-,3.7
, ,"Knight, L.A. Ms.",GRN,697,1.4,*,-,2.3
, ,"Marshall, G.L.",BNP,614,1.2,*,, 
, ,"Cann, R.S.",Ind,588,1.1,*,, 
, ,"Vidler, N.B.",ED,146,0.3,*,, 
, ,"Sables, G.A.",Comm,96,0.2,*,, 
