General election results 2010,,,Party,Votes,Share,*lost deposit,change since 2005,
, ,"Armstrong, I.",UCUNF,4'634,10.9,, , 
, ,"O'Loan, D.",SDLP,3'738,8.8,,-,2.2
, ,"Dunlop, J. Ms.",APNI,1'368,3.2,*,, 
, ,"Cubitt, L.",ND,606,1.4,*,, 
, , , ,-----,---,, , 
2005: DUP,, , ,12'558,29.6,, , 
Antrim South [15],63'054,53.9,"McCrea, R.T.W.*",DUP,11'536,33.9,,-,6.4
, ,"Empey, R.",UCUNF,10'353,30.4,, , 
, ,"McLaughlin, M.",SF,4'729,13.9,,+,3.2
, ,"Byrne, M. Ms.",SDLP,2'955,8.7,,-,2.5
, ,"Lawther, A.",APNI,2'607,7.7,, , 
, ,"Lucas, M.",TUV,1'829,5.4,, , 
, , , ,-----,---,, , 
2005: DUP,, , ,1'183,3.5,, , 
Arfon [16],41'198,63.3,"Williams, H.*",PC,9'383,36,,+,3.9
, ,"Pugh, A.J.",Lab,7'928,30.4,,-,3.5
, ,"Millar, R.J.",Con,4'416,16.9,,+,0.5
, ,"Green, S.L. Ms.",LD,3'666,14.1,,-,1.7
, ,"Williams, E.",UKIP,685,2.6,*,+,0.7
, , , ,-----,---,, , 
2005: Lab,, , ,1'455,5.6,, , 
Argyll and Bute [17],67'165,67.3,"Reid, A.*",LD,14'292,31.6,,-,4.9
, ,"Mulvaney, G.",Con,10'861,24,,+,0.5
, ,"Graham, D.",Lab,10'274,22.7,,+,0.3
, ,"McKenzie, M.",SNP,8'563,18.9,,+,3.4
, ,"Morrison, E. Ms.",GRN,789,1.7,*,, 
, ,"Doyle, G.",Ind,272,0.6,*,, 
, ,"Black, J.A.",SJP,156,0.3,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,3'431,7.6,, , 
Arundel and South Downs [18],76'835,72.9,"Herbert, N.*",Con,32'333,57.8,,+,7.4
, ,"Deedman, D.R.",LD,15'642,27.9,,+,1.4
, ,"Lunnon, T.",Lab,4'835,8.6,,-,8.7
, ,"Bower, S.N.",UKIP,3'172,5.7,,+,0.4
, , , ,-----,---,, , 
2005: Con,, , ,16'691,29.8,, , 
Ashfield [19],77'379,62.3,"de Piero, G. Ms.",Lab,16'239,33.7,,-,15
, ,"Zadrozny, J.B.",LD,16'047,33.3,,+,19.5
, ,"Hickton, G.K.",Con,10'698,22.2,,-,2.2
, ,"Holmes, E.",BNP,2'781,5.8,, , 
, ,"Ellis, A.",ED,1'102,2.3,*,, 
, ,"Coleman, T.G.",UKIP,933,1.9,*,, 
, ,"Smith, E.I.",Ind,396,0.8,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,192,0.4,, , 
Ashford [20],81'271,67.9,"Green, D.H.*",Con,29'878,54.1,,+,2.7
, ,"Took, C.J.",LD,12'581,22.8,,+,7.2
, ,"Clark, C.R.",Lab,9'204,16.7,,-,9.7
, ,"Elenor, J.",UKIP,2'508,4.5,*,+,1.4
, ,"Campkin, S.R.",GRN,1'014,1.8,*,-,1.6
, , , ,-----,---,, , 
2005: Con,, , ,17'297,31.3,, , 
Ashton-under-Lyne [21],67'714,56.8,"Heyes, D.*",Lab,18'604,48.4,,-,10.1
, ,"Kennedy, S.L.G. Ms.",Con,9'510,24.7,,+,4.6
, ,"Larkin, P.",LD,5'703,14.8,,+,3.2
, ,"Lomas, D.G.",BNP,2'929,7.6,,+,1.7
, ,"McManus, A. Ms.",UKIP,1'686,4.4,*,+,2.3
, , , ,-----,---,, , 
2005: Lab,, , ,9'094,23.7,, , 
Aylesbury [22],77'844,68.3,"Lidington, D.R.*",Con,27'736,52.2,,+,3.8
, ,"Lambert, S.M.",LD,15'118,28.4,,-,0.4
, ,"White, K. Ms.",Lab,6'695,12.6,,-,5.7
, ,"Adams, C.M.",UKIP,3'613,6.8,,+,2.3
, , , ,-----,---,, , 
2005: Con,, , ,12'618,23.7,, , 
"Ayr Carrick and Cumnock [23]",73'320,62.6,"Osborne, S.C. Ms.*",Lab,21'632,47.1,,+,1.8
, ,"Grant, B.",Con,11'721,25.5,,+,2.4
, ,"Brodie, C.",SNP,8'276,18,,+,4.9
, ,"Taylor, J.K.",LD,4'264,9.3,,-,4.8
, , , ,-----,---,, , 
2005: Lab,, , ,9'911,21.6,, , 
Ayrshire Central [24],68'352,64.2,"Donohoe, B.H.*",Lab,20'950,47.7,,+,1.3
, ,"Golden, M.C.",Con,8'943,20.4,,-,1.8
, ,"Mullen, J.K.",SNP,8'364,19,,+,7.5
, ,"Chamberlain, A.S.",LD,5'236,11.9,,-,4.1
, ,"McDaid, J.",Soc Lab,422,1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,12'007,27.3,, , 
Ayrshire North and Arran [25],74'223,62.1,"Clark, K. Ms.*",Lab,21'860,47.4,,+,3.5
, ,"Gibson, P. Ms.",SNP,11'965,25.9,,+,8
, ,"Lardner, P.",Con,7'212,15.6,,-,2.7
, ,"Cole-Hamilton, G. Ms.",LD,4'630,10,,-,6.4
, ,"McDaid, L. Ms.",Soc Lab,449,1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,9'895,21.5,, , 
Banbury [26],84'379,66.7,"Baldry, A.B.*",Con,29'703,52.8,,+,5.9
, ,"Rundle, D.G.",LD,11'476,20.4,,+,2.9
, ,"Sibley, L.F.",Lab,10'773,19.2,,-,8.9
, ,"Fairweather, D.S.",UKIP,2'806,5,*,+,2.8
, ,"White, A.T.",GRN,959,1.7,*,-,1.1
, ,"Edwards, C.J.R. Ms.",Ind,524,0.9,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,18'227,32.4,, , 
Banff and Buchan [27],64'300,59.8,"Whiteford, E. Ms.",SNP,15'868,41.3,,-,9.9
, ,"Buchan, J.",Con,11'841,30.8,,+,11.4
, ,"Reynolds, G.",Lab,5'382,14,,+,2
, ,"Milne, G.",LD,4'365,11.3,,-,2
, ,"Payne, R.K.",BNP,1'010,2.6,*,, 
, , , ,-----,---,, , 
2005: SNP,, , ,4'027,10.5,, , 
Barking [28],73'868,61.4,"Hodge, M.E. Ms.*",Lab,24'628,54.3,,+,4.7
, ,"Marcus, S.J.S.",Con,8'073,17.8,,+,1.2
, ,"Griffin, N.J.",BNP,6'620,14.6,,-,1.7
, ,"Carman, D.S.E.",LD,3'719,8.2,,-,2.6
, ,"Maloney, F.T.",UKIP,1'300,2.9,*,-,0.6
, ,"Hargreaves, J.G.",Ch P,482,1.1,*,, 
, ,"Forbes, J.E. Ms.",GRN,317,0.7,*,-,1
, ,"Dowling, C.D.",MRLP,82,0.2,*,, 
, ,"Darwood, T.F.",Ind,77,0.2,*,, 
, ,"Sijuwola, D.",Rest,45,0.1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,16'555,36.5,, , 
Barnsley Central [29],65'543,56.5,"Illsley, E.*",Lab,17'487,47.3,,-,10.4
, ,"Wiggin, C.J.",LD,6'394,17.3,,-,2
, ,"Tempest, P.",Con,6'388,17.3,,+,2.5
, ,"Sutton, I.",BNP,3'307,8.9,,+,4.4
, ,"Silver, D.W.",UKIP,1'727,4.7,*,, 
, ,"Wood, D.",Ind,732,2,*,, 
, ,"Devoy, T.",Ind,610,1.6,*,, 
, ,"Robinson, T.",Soc Lab,356,1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,11'093,30,, , 
Barnsley East [30],68'435,56.1,"Dugher, M.",Lab,18'059,47,,-,23.9
, ,"Brown, J.",LD,6'969,18.2,,+,4.1
, ,"Hockney, J.A.",Con,6'329,16.5,,+,3.8
, ,"Porter, C.",BNP,3'301,8.6,, , 
, ,"Watson, T.",UKIP,1'731,4.5,*,, 
, ,"Hogan, K.M.J.",Ind,712,1.9,*,, 
, ,"Devoy, E.",Ind,684,1.8,*,, 
, ,"Capstick, K.",Soc Lab,601,1.6,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,11'090,28.9,, , 
Barrow and Furness [31],68'943,64,"Woodcock, J.",Lab,21'226,48.1,,+,2.9
, ,"Gough, J.",Con,16'018,36.3,,+,3.7
, ,"Rabone, B.M.",LD,4'424,10,,-,7.8
, ,"Smith, J.N.",UKIP,841,1.9,*,-,0.1
, ,"Ashburner, M.",BNP,840,1.9,*,, 
, ,"Loynes, C.",GRN,530,1.2,*,, 
, ,"Greaves, B.",Ind,245,0.6,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,5'208,11.8,, , 
Basildon and Billericay [32],65'515,63.4,"Baron, J.C.*",Con,21'922,52.7,,+,6.7
, ,"Davies, A.R.",Lab,9'584,23.1,,-,11.7
, ,"Hibbs, M.",LD,6'538,15.7,,+,2.5
, ,"Bateman, I.L. Ms.",BNP,1'934,4.7,*,+,1.1
, ,"Broad, A.D.",UKIP,1'591,3.8,*,+,1.4
, , , ,-----,---,, , 
2005: Con,, , ,12'338,29.7,, , 
Basildon South and Thurrock East [33],71'874,62.2,"Metcalfe, S.",Con,19'624,43.9,,+,5.3
, ,"Smith, A.E. Ms.*",Lab,13'852,31,,-,9.7
, ,"Williams, G.",LD,5'977,13.4,,+,2.8
, ,"Smith, K.J.D.",UKIP,2'639,5.9,,+,3.3
, ,"Roberts, C.",BNP,2'518,5.6,,+,0.8
, ,"X, N.",ND,125,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,5'772,12.9,, , 
Basingstoke [34],75'473,67.1,"Miller, M.F.L. Ms.*",Con,25'590,50.5,,+,11.7
, ,"Shaw, J.D.",LD,12'414,24.5,,+,2.6
, ,"Pepperell, F. Ms.",Lab,10'327,20.4,,-,12.2
, ,"Howell, S.H. Ms.",UKIP,2'076,4.1,*,+,1.9
, ,"Saul, S.",BCP,247,0.5,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,13'176,26,, , 
Bassetlaw [35],76'513,64.8,"Mann, J.*",Lab,25'018,50.5,,-,2.5
, ,"Girling, K.F.",Con,16'803,33.9,,-,1.2
, ,"Dobbie, D.P.",LD,5'570,11.2,,-,0.7
, ,"Hamilton, A. Ms.",UKIP,1'779,3.6,*,, 
, ,"Whitehurst, G.M.",Ind,407,0.8,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,8'215,16.6,, , 
Bath [36],66'686,70.6,"Foster, D.M.E.*",LD,26'651,56.6,,+,11.2
, ,"Richter, F.F.",Con,14'768,31.4,,-,0.5
, ,"Ajderian, H.J. Ms.",Lab,3'251,6.9,,-,7.5
, ,"Lucas, E.P.",GRN,1'120,2.4,*,-,3.6
, ,"Warrender, E.J.V.",UKIP,890,1.9,*,+,0.2
, ,"Hewett, S.P.",Ch P,250,0.5,*,, 
, ,"Onymous, A.",ND,69,0.1,*,, 
, ,"Geddis, S.A.",Ind,56,0.1,*,, 
, ,"Craig, R.I.",South,31,0.1,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,11'883,25.2,, , 
Batley and Spen [37],76'738,66.6,"Wood, M.*",Lab,21'565,42.2,,-,3.1
, ,"Small, J.A. Ms.",Con,17'159,33.6,,+,1.9
, ,"Bentley, N.D.",LD,8'095,15.8,,+,0.4
, ,"Exley, D.A.",BNP,3'685,7.2,,+,1.2
, ,"Blakeley, M.",GRN,605,1.2,*,-,0.5
, , , ,-----,---,, , 
2005: Lab,, , ,4'406,8.6,, , 
Battersea [38],74'311,65.7,"Ellison, J.E. Ms.",Con,23'103,47.3,,+,7.5
, ,"Linton, M.*",Lab,17'126,35.1,,-,5.6
, ,"Moran, L.M. Ms.",LD,7'176,14.7,,+,0.3
, ,"Evans, G.",GRN,559,1.1,*,-,3.1
, ,"MacDonald, C.P.",UKIP,505,1,*,+,0.2
, ,"Salmon, H.G.B.",PPBF,168,0.3,*,, 
, ,"Fox, T.W.",Ind,155,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,5'977,12.2,, , 
Beaconsfield [39],74'982,70,"Grieve, D.C.R.*",Con,32'053,61.1,,+,7
, ,"Edwards, J.W.",LD,10'271,19.6,,-,2.4
, ,"Miles, J.",Lab,6'135,11.7,,-,7.8
, ,"Gray-Fisk, D.I. Ms.",UKIP,2'597,4.9,*,+,0.5
, ,"Bailey, J.",GRN,768,1.5,*,, 
, ,"Cowen, A.",MPEA,475,0.9,*,, 
, ,"Baron, Q.",Ind,191,0.4,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,21'782,41.5,, , 
Beckenham [40],66'219,72,"Stewart, R.A.",Con,27'597,57.9,,-,1.8
, ,"Jenkins, S.M.",LD,9'813,20.6,,+,4.5
, ,"Egan, D.J.",Lab,6'893,14.5,,-,4.9
, ,"Brolly, O.G.M.",UKIP,1'551,3.3,*,+,0.4
, ,"Tonks, R.W.",BNP,1'001,2.1,*,, 
, ,"Garrett, A.C. Ms.",GRN,608,1.3,*,, 
, ,"Cheeseman, D.P.",ED,223,0.5,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,17'784,37.3,, , 
Bedford [41],68'530,65.8,"Fuller, R.Q.",Con,17'546,38.9,,+,5.4
, ,"Hall, P.*",Lab,16'193,35.9,,-,5.7
, ,"Vann, H.P.",LD,8'957,19.9,,-,2
, ,"Adkin, M.",UKIP,1'136,2.5,*,+,0.1
