UK General Election Results 2001,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%,Electorate,Majority,Turnout,Status,Declaration
,,David J Nellist,Socialist Alliance,2638,7.08%,,,,,
,,Edward Sheppard,British National,737,1.98%,,,,,
,,,,,,,,,,
Coventry North West,,Geoffrey Robinson,Labour,21892,51.45%,76652,10874,55.51%,Labour Hold,08/06/01 02:09
,,Andrew Fairburn,Conservative,11018,25.89%,,,,,
,,Napier Penlington,Liberal Democrat,5832,13.71%,,,,,
,,Christine Oddy,Independent,3159,7.42%,,,,,
,,Mark Benson,United Kingdom Independence,650,1.53%,,,,,
,,,,,,,,,,
Coventry South,,Jim Cunningham,Labour,20125,50.19%,72527,8279,55.28%,Labour Hold,08/06/01 01:57
,,Heather Wheeler,Conservative,11846,29.54%,,,,,
,,Vincent McKee,Liberal Democrat,5672,14.15%,,,,,
,,Rob Windsor,Socialist Alliance,1475,3.68%,,,,,
,,Irene Rogers,Independent,564,1.41%,,,,,
,,Timothy Logan,Socialist Labour,414,1.03%,,,,,
,,,,,,,,,,
Crawley,,Laura Moffatt,Labour,19488,49.31%,71626,6770,55.18%,Labour Hold,08/06/01 02:28
,,Henry Smith,Conservative,12718,32.18%,,,,,
,,Linda Seekings,Liberal Democrat,5009,12.67%,,,,,
,,Brian Galloway,United Kingdom Independence,1137,2.88%,,,,,
,,Claire Staniford,Monster Raving Loony,388,0.98%,,,,,
,,Arshad Khan,Justice,271,0.69%,,,,,
,,Karl Stewart,Socialist Labour,260,0.66%,,,,,
,,Muriel Hirsch,Socialist Alliance,251,0.64%,,,,,
,,,,,,,,,,
Crewe and Nantwich,,Gwyneth Dunwoody,Labour,22556,54.29%,69040,9906,60.18%,Labour Hold,08/06/01 02:20
,,Donald Potter,Conservative,12650,30.45%,,,,,
,,David Cannon,Liberal Democrat,5595,13.47%,,,,,
,,Roger Croston,United Kingdom Independence,746,1.80%,,,,,
,,,,,,,,,,
Crosby,,Claire Curtis-Thomas,Labour,20327,55.14%,57375,8353,64.25%,Labour Hold,08/06/01 00:31
,,Robert Collinson,Conservative,11974,32.48%,,,,,
,,Tim Drake,Liberal Democrat,4084,11.08%,,,,,
,,Mark Holt,Socialist Labour,481,1.30%,,,,,
,,,,,,,,,,
Croydon Central,,Geraint Davies,Labour,21643,47.19%,77567,3984,59.12%,Labour Hold,08/06/01 02:36
,,David L Congdon,Conservative,17659,38.51%,,,,,
,,Paul Booth,Liberal Democrat,5156,11.24%,,,,,
,,James Feisenberger,United Kingdom Independence,545,1.19%,,,,,
,,Lynda Miller,British National,449,0.98%,,,,,
,,John Cartwright,Monster Raving Loony,408,0.89%,,,,,
,,,,,,,,,,
Croydon North,,Malcolm Wicks,Labour,26610,63.54%,76600,16858,54.68%,Labour Hold,08/06/01 02:24
,,Simon Allison,Conservative,9752,23.28%,,,,,
,,Sandra Lawman,Liberal Democrat,4375,10.45%,,,,,
,,Alan Smith,United Kingdom Independence,606,1.45%,,,,,
,,Don Madgwick,Socialist Alliance,539,1.29%,,,,,
,,,,,,,,,,
Croydon South,,Richard Ottaway,Conservative,22169,49.20%,73402,8697,61.39%,Conservative Hold,08/06/01 03:04
,,Gerry Ryan,Labour,13472,29.90%,,,,,
,,Anne Gallop,Liberal Democrat,8226,18.26%,,,,,
,,Kathleen Garner,United Kingdom Independence,998,2.21%,,,,,
,,Mark Samuel,People's Choice,195,0.43%,,,,,
,,,,,,,,,,
Cumbernauld and Kilsyth,,Rosemary McKenna,Labour,16144,54.36%,49739,7520,59.71%,Labour Hold,08/06/01 00:51
,,David McGlashan,Scottish National,8624,29.04%,,,,,
,,John O'Donnell,Liberal Democrat,1934,6.51%,,,,,
,,Alison Ross,Conservative,1460,4.92%,,,,,
,,Kenny McEwan,Scottish Socialist,1287,4.33%,,,,,
,,Thomas Taylor,Scottish Freedom Referendum,250,0.84%,,,,,
,,,,,,,,,,
Cunninghame North,,Brian Wilson,Labour,15571,46.05%,54993,8398,61.49%,Labour Hold,08/06/01 02:10
,,Campbell Martin,Scottish National,7173,21.21%,,,,,
,,Richard Wilkinson,Conservative,6666,19.71%,,,,,
,,Ross Chmiel,Liberal Democrat,3060,9.05%,,,,,
,,Sean Scott,Scottish Socialist,964,2.85%,,,,,
,,Louise McDaid,Socialist Labour,382,1.13%,,,,,
,,,,,,,,,,
Cunninghame South,,Brian Donohoe,Labour,16424,58.64%,49982,11230,56.04%,Labour Hold,08/06/01 01:05
,,Bill Kidd,Scottish National,5194,18.54%,,,,,
,,Pam Paterson,Conservative,2682,9.58%,,,,,
,,John Boyd,Liberal Democrat,2094,7.48%,,,,,
,,Rosemary Byrne,Scottish Socialist,1233,4.40%,,,,,
,,Bobby Cochrane,Socialist Labour,382,1.36%,,,,,
,,,,,,,,,,
Cynon Valley,,Ann Clwyd,Labour,17685,65.60%,48591,12998,55.48%,Labour Hold,08/06/01 00:57
,,Steven Cornelius,Plaid Cymru,4687,17.39%,,,,,
,,Ian Parry,Liberal Democrat,2541,9.43%,,,,,
,,Julian Waters,Conservative,2045,7.59%,,,,,
,,,,,,,,,,
Dagenham,,Jon Cruddas,Labour,15784,57.23%,59340,8693,46.48%,Labour Hold,08/06/01 01:48
,,Michael White,Conservative,7091,25.71%,,,,,
,,Adrian Gee-Turner,Liberal Democrat,2820,10.22%,,,,,
,,David Hill,British National,1378,5.00%,,,,,
,,Berlyne Hamilton,Socialist Alliance,262,0.95%,,,,,
,,Robert Siggins,Socialist Labour,245,0.89%,,,,,
,,,,,,,,,,
Darlington,,Alan Milburn,Labour,22479,55.16%,64328,9529,63.35%,Labour Hold,08/06/01 01:16
,,Tony Richmond,Conservative,12950,31.78%,,,,,
,,Robert Adamson,Liberal Democrat,4358,10.69%,,,,,
,,Alan Docherty,Socialist Alliance,469,1.15%,,,,,
,,Craig Platt,Independent,269,0.66%,,,,,
,,Amanda Rose,Socialist Labour,229,0.56%,,,,,
,,,,,,,,,,
Dartford,,Howard Stoate,Labour,21466,47.98%,72258,3306,61.92%,Labour Hold,08/06/01 02:42
,,Bob Dunn,Conservative,18160,40.59%,,,,,
,,Graham Morgan,Liberal Democrat,3781,8.45%,,,,,
,,Mark Croucher,United Kingdom Independence,989,2.21%,,,,,
,,Keith Davenport,Fancy Dress,344,0.77%,,,,,
,,,,,,,,,,
Daventry,,Tim Boswell,Conservative,27911,49.24%,86537,9649,65.50%,Conservative Hold,08/06/01 04:04
,,Kevin Quigley,Labour,18262,32.22%,,,,,
,,Jamie Calder,Liberal Democrat,9130,16.11%,,,,,
,,Peter Baden,United Kingdom Independence,1381,2.44%,,,,,
,,,,,,,,,,
Delyn,,David Hanson,Labour,17825,51.46%,54732,8605,63.28%,Labour Hold,08/06/01 01:49
,,Paul Brierley,Conservative,9220,26.62%,,,,,
,,Tudor Jones,Liberal Democrat,5329,15.39%,,,,,
,,Paul Rowlinson,Plaid Cymru,2262,6.53%,,,,,
,,,,,,,,,,
Denton and Reddish,,Andrew Bennett,Labour,21913,65.23%,69236,15330,48.52%,Labour Hold,08/06/01 00:59
,,Paul Newman,Conservative,6583,19.60%,,,,,
,,Roger Fletcher,Liberal Democrat,4152,12.36%,,,,,
,,Alan Cadwallender,United Kingdom Independence,945,2.81%,,,,,
,,,,,,,,,,
Derby North,,Bob Laxton,Labour,22415,50.88%,76489,6982,57.60%,Labour Hold,08/06/01 02:18
,,Barrie Holden,Conservative,15433,35.03%,,,,,
,,Robert Charlesworth,Liberal Democrat,6206,14.09%,,,,,
,,,,,,,,,,
Derby South,,Margaret Beckett,Labour,24310,56.44%,77366,13855,55.68%,Labour Hold,08/06/01 02:13
,,Simon Spencer,Conservative,10455,24.27%,,,,,
,,Anders Hanson,Liberal Democrat,8310,19.29%,,,,,
,,,,,,,,,,
Derbyshire North East,,Harry Barnes,Labour,23437,55.64%,71527,12258,58.89%,Labour Hold,08/06/01 03:50
,,James Hollingsworth,Conservative,11179,26.54%,,,,,
,,Mark Higginbottom,Liberal Democrat,7508,17.82%,,,,,
,,,,,,,,,,
Derbyshire South,,Mark Todd,Labour,26338,50.70%,81010,7851,64.12%,Labour Hold,08/06/01 05:10
,,James Hakewill,Conservative,18487,35.59%,,,,,
,,Russell Eagling,Liberal Democrat,5233,10.07%,,,,,
,,John Blunt,United Kingdom Independence,1074,2.07%,,,,,
,,Paul Liversuch,Socialist Labour,564,1.09%,,,,,
,,James Taylor,Independent,249,0.48%,,,,,
,,,,,,,,,,
Derbyshire West,,Patrick McLoughlin,Conservative,24280,47.99%,75067,7370,67.39%,Conservative Hold,08/06/01 03:35
,,Stephen J Clamp,Labour,16910,33.43%,,,,,
,,Jeremy Beckett,Liberal Democrat,7922,15.66%,,,,,
,,Stuart Bavester,United Kingdom Independence,672,1.33%,,,,,
,,Nick Delves,Monster Raving Loony,472,0.93%,,,,,
,,Robert Goodall,Independent,333,0.66%,,,,,
,,,,,,,,,,
Devizes,,Michael Ancram,Conservative,25159,47.25%,83655,11896,63.65%,Conservative Hold,08/06/01 04:23
,,Jim Thorpe,Labour,13263,24.91%,,,,,
,,Helen Frances,Liberal Democrat,11756,22.08%,,,,,
,,Alan Wood,United Kingdom Independence,1521,2.86%,,,,,
,,Ludovic Kennedy,Independent,1078,2.02%,,,,,
,,Vanessa Potter,Monster Raving Loony,472,0.89%,,,,,
,,,,,,,,,,
Devon East,,Hugo Swire,Conservative,22681,47.41%,70278,8195,68.07%,Conservative Hold,08/06/01 03:32
,,Tim Dumper,Liberal Democrat,14486,30.28%,,,,,
,,Phil Starr,Labour,7974,16.67%,,,,,
,,David Wilson,United Kingdom Independence,2696,5.64%,,,,,
,,,,,,,,,,
Devon North,,Nick Harvey,Liberal Democrat,21784,44.23%,72100,2984,68.31%,Liberal Democrat Hold,08/06/01 03:46
,,Clive Allen,Conservative,18800,38.17%,,,,,
,,Viv Gale,Labour,4995,10.14%,,,,,
,,Roger Knapman,United Kingdom Independence,2484,5.04%,,,,,
,,Tony Bown,Green,1191,2.42%,,,,,
,,,,,,,,,,
Devon South West,,Gary Streeter,Conservative,21970,46.84%,70922,7144,66.13%,Conservative Hold,08/06/01 02:11
,,Christopher Mavin,Labour,14826,31.61%,,,,,
,,Phil Hutty,Liberal Democrat,8616,18.37%,,,,,
,,Roger Bullock,United Kingdom Independence,1492,3.18%,,,,,
,,,,,,,,,,
Devon West and Torridge,,John Burnett,Liberal Democrat,23474,42.16%,78976,1194,70.51%,Liberal Democrat Hold,08/06/01 04:33
,,Geoffrey Cox,Conservative,22280,40.01%,,,,,
,,David Brenton,Labour,5959,10.70%,,,,,
,,Bob Edwards,United Kingdom Independence,2674,4.80%,,,,,
,,Martin Quinn,Green,1297,2.33%,,,,,
,,,,,,,,,,
Dewsbury,,Ann Taylor,Labour,18524,50.54%,62344,7449,58.79%,Labour Hold,08/06/01 02:42
,,Robert Cole,Conservative,11075,30.22%,,,,,
,,Ian Cuthbertson,Liberal Democrat,4382,11.96%,,,,,
,,Russell Smith,British National,1632,4.45%,,,,,
,,Brenda Smithson,Green,560,1.53%,,,,,
,,David Peace,United Kingdom Independence,478,1.30%,,,,,
,,,,,,,,,,
Don Valley,,Caroline Flint,Labour,20009,54.62%,66244,9520,55.30%,Labour Hold,08/06/01 02:37
,,James Browne,Conservative,10489,28.63%,,,,,
,,Phillip Smith,Liberal Democrat,4089,11.16%,,,,,
,,Tony Wilde,Independent,800,2.18%,,,,,
,,David Cooper,United Kingdom Independence,777,2.12%,,,,,
,,Nigel Ball,Socialist Labour,466,1.27%,,,,,
,,,,,,,,,,
Doncaster Central,,Rosie Winterton,Labour,20034,59.09%,65087,11999,52.09%,Labour Hold,08/06/01 01:57
,,Gary Meggitt,Conservative,8035,23.70%,,,,,
,,Michael Southcombe,Liberal Democrat,4390,12.95%,,,,,
,,David Gordon,United Kingdom Independence,926,2.73%,,,,,
,,Janet Terry,Socialist Alliance,517,1.52%,,,,,
,,,,,,,,,,
Doncaster North,,Kevin Hughes,Labour,19788,63.09%,62124,15187,50.48%,Labour Hold,08/06/01 02:54
,,Anita Kapoor,Conservative,4601,14.67%,,,,,
,,Colin Ross,Liberal Democrat,3323,10.60%,,,,,
,,Martin Williams,Independent,2926,9.33%,,,,,
,,John Wallis,United Kingdom Independence,725,2.31%,,,,,
,,,,,,,,,,
Dorset Mid and Poole North,,Annette Brooke,Liberal Democrat,18358,41.99%,66675,384,65.57%,Liberal Democrat Gain,08/06/01 02:03
,,Christopher Fraser,Conservative,17974,41.11%,,,,,
,,James Selby-Bennett,Labour,6765,15.47%,,,,,
,,Jeff Mager,United Kingdom Independence,621,1.42%,,,,,
,,,,,,,,,,
Dorset North,,Robert Walter,Conservative,22314,46.66%,72140,3797,66.29%,Conservative Hold,08/06/01 05:24
,,Emily Gasson,Liberal Democrat,18517,38.72%,,,,,
,,Mark Wareham,Labour,5334,11.15%,,,,,
,,Peter Jenkins,United Kingdom Independence,1019,2.13%,,,,,
,,Joseph Duthie,Low Excise Duty,391,0.82%,,,,,
,,Cora Bone,Independent,246,0.51%,,,,,
,,,,,,,,,,
Dorset South,,Jim Knight,Labour,19027,41.96%,69233,153,65.50%,Labour Gain,08/06/01 04:13
,,Ian Cameron Bruce,Conservative,18874,41.62%,,,,,
,,Andrew Canning,Liberal Democrat,6531,14.40%,,,,,
,,Laurence Moss,United Kingdom Independence,913,2.01%,,,,,
,,,,,,,,,,
Dorset West,,Oliver Letwin,Conservative,22126,44.63%,74016,1414,66.97%,Conservative Hold,08/06/01 03:17
,,Simon Green,Liberal Democrat,20712,41.78%,,,,,
,,Richard Hyde,Labour,6733,13.58%,,,,,
,,,,,,,,,,
Dover,,Gwyn Prosser,Labour,21943,48.81%,69025,5199,65.14%,Labour Hold,08/06/01 02:16
,,Paul Watkins,Conservative,16744,37.24%,,,,,
,,Antony Hook,Liberal Democrat,5131,11.41%,,,,,
,,Lee Speakman,United Kingdom Independence,1142,2.54%,,,,,
,,,,,,,,,,
Down North,,Sylvia Hermon,Ulster Unionist,20833,56.02%,63212,7324,58.83%,Ulster Unionist Gain,08/06/01 17:33
,,Robert McCartney,United Kingdom Unionist,13509,36.33%,,,,,
,,Marietta Farrell,Social Democratic and Labour,1275,3.43%,,,,,
,,Julian Robertson,Conservative,815,2.19%,,,,,
,,Chris C Carter,Independent,444,1.19%,,,,,
,,Eamon McConvey,Sinn Féin,313,0.84%,,,,,
,,,,,,,,,,
Down South,,Eddie McGrady,Social Democratic and Labour,24136,46.35%,73519,13858,70.83%,Social Democratic and Labour Hold,08/06/01 19:54
,,Mick Murphy,Sinn Féin,10278,19.74%,,,,,
,,Dermot Nesbitt,Ulster Unionist,9173,17.62%,,,,,
,,Jim Wells,Democratic Unionist,7802,14.98%,,,,,
,,Betty Campbell,Alliance,685,1.32%,,,,,
,,,,,,,,,,
Dudley North,,Ross Cranston,Labour,20095,52.11%,68964,6800,55.92%,Labour Hold,08/06/01 01:26
,,Andrew Griffiths,Conservative,13295,34.48%,,,,,
,,Richard Burt,Liberal Democrat,3352,8.69%,,,,,
,,Simon Darby,British National,1822,4.72%,,,,,
,,,,,,,,,,
Dudley South,,Ian Pearson,Labour,18109,49.83%,65578,6817,55.42%,Labour Hold,08/06/01 00:52
,,Jason Sugarman,Conservative,11292,31.07%,,,,,
,,Lorely Burt,Liberal Democrat,5421,14.92%,,,,,
,,John Westwood,United Kingdom Independence,859,2.36%,,,,,
,,Angela Thompson,Socialist Alliance,663,1.82%,,,,,
,,,,,,,,,,
Dulwich and West Norwood,,Tessa Jowell,Labour,20999,54.90%,70497,12310,54.25%,Labour Hold,08/06/01 03:29
,,Nick Vineall,Conservative,8689,22.72%,,,,,
,,Caroline Pidgeon,Liberal Democrat,5806,15.18%,,,,,
,,Jenny Jones,Green,1914,5.00%,,,,,
,,Brian Kelly,Socialist Alliance,839,2.19%,,,,,
,,,,,,,,,,
Dumbarton,,John McFall,Labour/Co-operative,16151,47.51%,56267,9575,60.42%,Labour/Co-operative Hold,08/06/01 01:47
,,Iain Robertson,Scottish National,6576,19.34%,,,,,
,,Eric Thompson,Liberal Democrat,5265,15.49%,,,,,
,,Peter Ramsay,Conservative,4648,13.67%,,,,,
,,Les Robertson,Scottish Socialist,1354,3.98%,,,,,
,,,,,,,,,,
Dumfries,,Russell Brown,Labour,20830,48.91%,62931,8834,67.67%,Labour Hold,08/06/01 01:34
,,John Charteris,Conservative,11996,28.17%,,,,,
,,John Ros Scott,Liberal Democrat,4955,11.64%,,,,,
,,Gerry Fisher,Scottish National,4103,9.63%,,,,,
,,John Dennis,Scottish Socialist,702,1.65%,,,,,
,,,,,,,,,,
Dundee East,,Iain Luke,Labour,14635,45.23%,56535,4475,57.24%,Labour Hold,08/06/01 01:12
,,Stewart Hosie,Scottish National,10160,31.40%,,,,,
,,Alan Donnelly,Conservative,3900,12.05%,,,,,
,,Raymond Lawrie,Liberal Democrat,2784,8.60%,,,,,
,,Harvey Duke,Scottish Socialist,879,2.72%,,,,,
,,,,,,,,,,
Dundee West,,Ernie Ross,Labour,14787,50.57%,53760,6800,54.39%,Labour Hold,08/06/01 01:27
,,Gordon Archer,Scottish National,7987,27.31%,,,,,
,,Ian Hail,Conservative,2656,9.08%,,,,,
,,Elizabeth Dick,Liberal Democrat,2620,8.96%,,,,,
,,Jim McFarlane,Scottish Socialist,1192,4.08%,,,,,
,,,,,,,,,,
Dunfermline East,,James Gordon Brown,Labour,19487,64.77%,52811,15063,56.97%,Labour Hold,08/06/01 00:04
,,John Mellon,Scottish National,4424,14.70%,,,,,
,,Stuart Randall,Conservative,2838,9.43%,,,,,
,,John Mainland,Liberal Democrat,2281,7.58%,,,,,
,,Andy Jackson,Scottish Socialist,770,2.56%,,,,,
,,Tom Dunsmore,United Kingdom Independence,286,0.95%,,,,,
,,,,,,,,,,
Dunfermline West,,Rachel Squire,Labour,16370,52.85%,54293,10980,57.05%,Labour Hold,08/06/01 00:23
,,Brian Goodall,Scottish National,5390,17.40%,,,,,
,,Russell McPhate,Liberal Democrat,4832,15.60%,,,,,
,,James Mackie,Conservative,3166,10.22%,,,,,
,,Kate Stewart,Scottish Socialist,746,2.41%,,,,,
,,Alastair Harper,United Kingdom Independence,471,1.52%,,,,,
,,,,,,,,,,
Durham North,,Kevan Jones,Labour,25920,67.21%,67610,18683,57.04%,Labour Hold,08/06/01 01:39
,,Matthew Palmer,Conservative,7237,18.76%,,,,,
,,Carole Field,Liberal Democrat,5411,14.03%,,,,,
,,,,,,,,,,
Durham North West,,Hilary Armstrong,Labour,24526,62.52%,67062,16333,58.49%,Labour Hold,08/06/01 01:08
,,William Clouston,Conservative,8193,20.89%,,,,,
,,Alan Ord,Liberal Democrat,5846,14.90%,,,,,
,,Joan Hartnell,Socialist Labour,661,1.69%,,,,,
,,,,,,,,,,
Durham,,Gerry Steinberg,Labour,23254,56.05%,69633,13441,59.58%,Labour Hold,08/06/01 01:17
,,Carol Woods,Liberal Democrat,9813,23.65%,,,,,
,,Nick Cartmell,Conservative,7167,17.28%,,,,,
,,Chris Williamson,United Kingdom Independence,1252,3.02%,,,,,
,,,,,,,,,,
Ealing Acton and Shepherd's Bush,,Clive Soley,Labour,20144,54.15%,70697,10789,52.62%,Labour Hold,08/06/01 02:20
,,Justine Greening,Conservative,9355,25.15%,,,,,
,,Martin Tod,Liberal Democrat,6171,16.59%,,,,,
,,Nick Grant,Socialist Alliance,529,1.42%,,,,,
,,Andrew Lawrie,United Kingdom Independence,476,1.28%,,,,,
,,Carlos Rule,Socialist Labour,301,0.81%,,,,,
,,Rebecca Ng,ProLife Alliance,225,0.60%,,,,,
,,,,,,,,,,
Ealing North,,Stephen Pound,Labour,25022,55.66%,77524,11837,57.99%,Labour Hold,08/06/01 02:56
,,Charles Walker,Conservative,13185,29.33%,,,,,
,,Francesco Fruzza,Liberal Democrat,5043,11.22%,,,,,
,,Astra Seibe,Green,1039,2.31%,,,,,
,,Daniel Moss,United Kingdom Independence,668,1.49%,,,,,
,,,,,,,,,,
Ealing Southall,,Piara Khabra,Labour,22239,47.49%,82373,13683,56.85%,Labour Hold,08/06/01 03:59
,,Daniel Kawczynski,Conservative,8556,18.27%,,,,,
,,Avtar Lit,Chairman of Sunrise Radio,5764,12.31%,,,,,
,,Baldev Sharma,Liberal Democrat,4680,9.99%,,,,,
,,Jane Cook,Green,2119,4.53%,,,,,
,,Salvinder Dhillon,Community Candidate Empowering Change,1214,2.59%,,,,,
,,Mushtaq Choudhry,Independent,1166,2.49%,,,,,
,,Harpal Brar,Socialist Labour,921,1.97%,,,,,
,,Mohammed Bhutta,Qari,169,0.36%,,,,,
,,,,,,,,,,
Easington,,John Cummings,Labour,25360,76.83%,61532,21949,53.65%,Labour Hold,08/06/01 00:44
,,Philip Lovel,Conservative,3411,10.33%,,,,,
,,Christopher Ord,Liberal Democrat,3408,10.32%,,,,,
,,Dave Robinson,Socialist Labour,831,2.52%,,,,,
,,,,,,,,,,
East Ham,,Stephen Timms,Labour,27241,73.96%,71255,21032,51.69%,Labour Hold,08/06/01 00:11
,,Peter Campbell,Conservative,6209,16.86%,,,,,
,,Bridget Fox,Liberal Democrat,2600,7.06%,,,,,
,,Rod Finlayson,Socialist Labour,783,2.13%,,,,,
,,,,,,,,,,
East Kilbride,,Adam Ingram,Labour,22205,53.26%,66572,12755,62.62%,Labour Hold,08/06/01 00:28
,,Archie Buchanan,Scottish National,9450,22.67%,,,,,
,,Ewan Hawthorn,Liberal Democrat,4278,10.26%,,,,,
,,Margaret McCulloch,Conservative,4238,10.17%,,,,,
,,David Stevenson,Scottish Socialist,1519,3.64%,,,,,
,,,,,,,,,,
East Lothian,,Anne Picking,Labour,17407,47.21%,58987,10830,62.51%,Labour Hold,08/06/01 01:05
,,Hamish Mair,Conservative,6577,17.84%,,,,,
,,Judy Hayman,Liberal Democrat,6506,17.65%,,,,,
,,Hilary Brown,Scottish National,5381,14.59%,,,,,
,,Derrick White,Scottish Socialist,624,1.69%,,,,,
,,Jake Herriot,Socialist Labour,376,1.02%,,,,,
,,,,,,,,,,
Eastbourne,,Nigel Waterson,Conservative,19738,44.09%,73784,2154,60.68%,Conservative Hold,08/06/01 03:29
,,Chris Berry,Liberal Democrat,17584,39.28%,,,,,
,,Gillian Roles,Labour,5967,13.33%,,,,,
,,Barry Jones,United Kingdom Independence,907,2.03%,,,,,
,,Theresia Williamson,Liberal,574,1.28%,,,,,
,,,,,,,,,,
Eastleigh,,David Chidgey,Liberal Democrat,19360,40.70%,74603,3058,63.77%,Liberal Democrat Hold,08/06/01 01:59
,,Conor Burns,Conservative,16302,34.27%,,,,,
,,Sam Jaffa,Labour,10426,21.92%,,,,,
,,Stephen Challis,United Kingdom Independence,849,1.78%,,,,,
,,Martha Lyn,Green,636,1.34%,,,,,
,,,,,,,,,,
Eastwood,,Jim Murphy,Labour,23036,47.63%,68378,9141,70.74%,Labour Hold,08/06/01 01:06
,,Raymond Robertson,Conservative,13895,28.73%,,,,,
,,Allan Steele,Liberal Democrat,6239,12.90%,,,,,
,,Stewart Maxwell,Scottish National,4137,8.55%,,,,,
,,Peter Murray,Scottish Socialist,814,1.68%,,,,,
,,Manar Tayan,Independent,247,0.51%,,,,,
,,,,,,,,,,
Eccles,,Ian Stewart,Labour,21395,64.48%,68764,14528,48.25%,Labour Hold,08/06/01 00:36
,,Peter Caillard,Conservative,6867,20.69%,,,,,
,,Bob Boyd,Liberal Democrat,4920,14.83%,,,,,
,,,,,,,,,,
Eddisbury,,Stephen O'Brien,Conservative,20556,46.31%,69181,4568,64.16%,Conservative Hold,08/06/01 04:23
,,Bill Eyres,Labour,15988,36.02%,,,,,
,,Paul Roberts,Liberal Democrat,6975,15.71%,,,,,
,,David Carson,United Kingdom Independence,868,1.96%,,,,,
,,,,,,,,,,
Edinburgh Central,,Alistair Darling,Labour,14495,42.15%,66089,8142,52.04%,Labour Hold,08/06/01 03:11
,,Andrew Myles,Liberal Democrat,6353,18.47%,,,,,
,,Alastair Orr,Conservative,5643,16.41%,,,,,
,,Ian McKee,Scottish National,4832,14.05%,,,,,
,,Graeme Farmer,Green,1809,5.26%,,,,,
,,Kevin Williamson,Scottish Socialist,1258,3.66%,,,,,
,,,,,,,,,,
Edinburgh East and Musselburgh,,Gavin Strang,Labour,18124,52.60%,59241,12168,58.16%,Labour Hold,08/06/01 02:48
,,Rob Munn,Scottish National,5956,17.29%,,,,,
,,Gary Peacock,Liberal Democrat,4981,14.46%,,,,,
,,Peter Finnie,Conservative,3906,11.34%,,,,,
,,Derek Durkin,Scottish Socialist,1487,4.32%,,,,,
,,,,,,,,,,
Edinburgh North and Leith,,Mark Lazarowicz,Labour,15271,45.95%,62475,8817,53.20%,Labour Hold,08/06/01 02:58
,,Sebastian Tombs,Liberal Democrat,6454,19.42%,,,,,
,,Kaukab Stewart,Scottish National,5290,15.92%,,,,,
,,Iain Mitchell,Conservative,4626,13.92%,,,,,
,,Catriona Grant,Scottish Socialist,1334,4.01%,,,,,
,,Don Jacobsen,Socialist Labour,259,0.78%,,,,,
,,,,,,,,,,
Edinburgh Pentlands,,Lynda Clark,Labour,15797,40.58%,59841,1742,65.06%,Labour Hold,08/06/01 03:19
,,Malcolm Rifkind,Conservative,14055,36.10%,,,,,
,,Stewart Gibb,Scottish National,4210,10.81%,,,,,
,,David Walker,Liberal Democrat,4210,10.81%,,,,,
,,James Mearns,Scottish Socialist,555,1.43%,,,,,
,,William McMurdo,United Kingdom Independence,105,0.27%,,,,,
,,,,,,,,,,
Edinburgh South,,Nigel Griffiths,Labour,15671,42.16%,64012,5499,58.06%,Labour Hold,08/06/01 03:37
,,Marilyne MacLaren,Liberal Democrat,10172,27.37%,,,,,
,,Geoffrey Buchan,Conservative,6172,16.61%,,,,,
,,Heather Williams,Scottish National,3683,9.91%,,,,,
,,Colin Fox,Scottish Socialist,933,2.51%,,,,,
,,Linda Hendry,Legalise Cannabis Alliance,535,1.44%,,,,,
,,,,,,,,,,
Edinburgh West,,John Barrett,Liberal Democrat,16719,42.35%,61895,7589,63.78%,Liberal Democrat Hold,08/06/01 03:30
,,Elspeth Alexandra,Labour,9130,23.13%,,,,,
,,Iain Whyte,Conservative,8894,22.53%,,,,,
,,Alyn Smith,Scottish National,4047,10.25%,,,,,
,,Bill Scott,Scottish Socialist,688,1.74%,,,,,
,,,,,,,,,,
Edmonton,,Andy Love,Labour/Co-operative,20481,58.90%,62294,9772,55.82%,Labour/Co-operative Hold,08/06/01 03:48
,,David Burrowes,Conservative,10709,30.80%,,,,,
,,Douglas Taylor,Liberal Democrat,2438,7.01%,,,,,
,,Gwyneth Rolph,United Kingdom Independence,406,1.17%,,,,,
,,Erol Basarik,Reform 2000,344,0.99%,,,,,
,,Howard Medwell,Socialist Alliance,296,0.85%,,,,,
,,Ram Saxena,Independent,100,0.29%,,,,,
,,,,,,,,,,
Ellesmere Port and Neston,,Andrew Miller,Labour,22964,55.30%,68147,10861,60.94%,Labour Hold,08/06/01 02:41
,,Gareth Williams,Conservative,12103,29.14%,,,,,
,,Stuart Kelly,Liberal Democrat,4828,11.63%,,,,,
,,Henry Crocker,United Kingdom Independence,824,1.98%,,,,,
,,Geoff Nicholls,Green,809,1.95%,,,,,
,,,,,,,,,,
Elmet,,Colin Burgon,Labour,22038,47.97%,70041,4171,65.59%,Labour Hold,08/06/01 02:33
,,Andrew Millard,Conservative,17867,38.89%,,,,,
,,Madeleine Kirk,Liberal Democrat,5001,10.89%,,,,,
,,Andrew Spence,United Kingdom Independence,1031,2.24%,,,,,
,,,,,,,,,,
Eltham,,Clive Efford,Labour,17855,52.84%,57519,6996,58.75%,Labour Hold,08/06/01 02:32
,,Sharon Massey,Conservative,10859,32.13%,,,,,
,,Martin Morris,Liberal Democrat,4121,12.20%,,,,,
